timestep,action,price,current_amt,qty,order_qty,is_order,reward,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
205,-0.3349384,2589000.0,97687042.0,8.0,3.0,True,0.7964171483704822,-71.89626542208622,16.01786460807601,0.39386747858978655,71.05275538930213,1.0,15.039242280285038,0.8958359359234598,3.8585624949540893,0.13833183796722093,-0.843510032784082,-0.01,-8.24,-0.01,15.106344579644649,19.85297296894044,sell
206,-0.29190227,2486000.0,96854878.0,6.0,2.0,True,0.7855369966764084,-79.41180366583318,15.029546318289785,-0.8518673336428797,79.58525904925743,1.0,15.229071258907364,0.9016522993903877,2.79615533761935,0.07520653429646074,0.17345538342426078,0.0003008224442407892,1.6800000000000002,0.02782942379945863,14.034523279528843,18.521209708470106,sell
207,-0.18678963,2514000.0,97018751.0,5.0,1.0,True,0.7911495092693905,-84.51910702938473,15.224169833729217,0.1691943693326422,84.44180238546079,1.0,15.135096199524941,0.8988055504208542,3.3730210653567845,0.1075392207156709,-0.07730464392393589,-0.01,-0.7500000000000001,-0.01,14.244788190044233,18.754002583522016,sell
208,1.2571877,2499000.0,96943751.0,5.0,0,False,-0.05,-87.45087946968107,15.135096199524941,-0.07730464392393589,87.12079114867109,1.0,14.755048693586698,0.8866318305194268,5.855227584463263,0.2902460374756536,-0.3300883210099844,-0.01,-3.2,-0.01,14.189091621308062,18.687781576637043,wrong
209,0.10908481,2435000.0,96622714.0,8.0,3.0,True,0.8158330487262493,-87.35349120130496,14.753817102137766,-0.3311580134752574,87.4942448547368,1.0,14.91533729216152,0.8918972229891027,5.255229957635581,0.2413194091475922,0.14075365343184212,0.00019809628588329797,1.36,0.018325998720056802,13.821922040075565,18.252617862238775,buy
210,-0.21315895,2452000.0,96754688.0,7.0,1.0,True,0.8112828381827848,-79.62383875907274,14.910555819477434,0.136586931308926,79.68895188310039,1.0,14.985377672209028,0.8941376315926153,4.922765865411174,0.21520774352500094,0.065113124027644,4.239629045832416e-05,0.63,0.003961133929752059,14.031574343659114,18.485772007813214,sell
211,-0.2817636,2461000.0,96813648.0,6.0,1.0,True,0.8295861695981065,-82.44116088721199,14.980579572446556,0.06093761575666494,82.23044679450473,1.0,14.738299287410928,0.8860704106691575,6.1962599314180835,0.31882523198679646,-0.2107140927072596,-0.01,-2.04,-0.01,14.165693090246931,18.618402698222262,sell
212,-0.35392556,2427000.0,96601678.0,4.0,2.0,True,0.8426312929303784,-85.08887920430392,14.72883372921615,-0.2189464030939109,85.00192419302554,1.0,14.629071258907365,0.8823565994120194,7.02620900488232,0.38962156553386307,-0.08695501127837552,-0.01,-0.8400000000000001,-0.01,13.884379077454009,18.28117746835626,sell
213,-0.04227273,2406000.0,96517678.0,4.0,0.0,True,0.8793910537928096,-90.28588302575862,14.629071258907365,-0.08695501127837552,90.03722391483389,1.0,14.344035629453684,0.8722287318779215,9.424536523908067,0.5886121711471661,-0.2486591109247365,-0.01,-2.4000000000000004,-0.01,13.811392884328775,18.194186659102854,sell
214,0.6089132,2346000.0,96270350.0,26.0,22.0,True,0.8813011096406318,-89.90029577794029,14.335332541567697,-0.2562515024449718,92.35795797611449,1.0,17.145308788598577,0.947113974040184,8.156042241192495,0.4858345871428823,2.457662198174204,0.058613071048913445,23.660000000000004,0.9962945701200958,13.519867176014609,17.846878466185395,buy
215,0.23420312,2437000.0,98635312.0,29.0,3.0,True,0.880732154799598,-34.642389894707975,17.144076009501187,2.4565839845809223,34.14256889753812,1.0,16.558565320665082,0.9355496974188099,8.329584998661504,0.5003362278697748,-0.4998209971698574,-0.01,-4.930000000000001,-0.01,16.492954033466155,22.100192927320684,buy
216,-0.6818836,2420000.0,98066814.0,10.0,19.0,True,0.8592136937267537,-27.67296158600887,16.46890023752969,-0.5763635643997355,28.080846765188852,1.0,16.943959619952494,0.9433564795123418,6.926070532295965,0.3810337493652559,0.40788517917998235,0.0016623200069653121,4.0,0.14785621103378865,15.771507518433953,21.21192100762932,sell
217,0.3181518,2460000.0,98463671.0,19.0,9.0,True,0.8630197870904317,-75.07821555210307,16.940226840855107,0.40468022138457566,74.76947223904907,1.0,16.579181710213778,0.9359885088040477,7.276856128818428,0.4111161722460872,-0.30874331305400954,-0.01,-3.04,-0.01,16.33315649607621,21.92397858872227,buy
218,-0.2119304,2444000.0,98143619.0,15.0,4.0,True,0.8629182282866062,-52.858755388065916,16.56011757719715,-0.325045772465664,52.84347166391468,1.0,16.542302850356293,0.9352018247620808,7.284699988102268,0.4117884042899098,-0.015283724151235955,-0.01,-0.15000000000000002,-0.01,15.918388983679884,21.421153417124245,sell
219,0.12170051,2443000.0,98127579.0,18.0,3.0,True,0.8610302032441024,-62.55487582947191,16.541067695961996,-0.016343395692388313,62.68328009795998,1.0,16.69071140142518,0.9383201801750095,7.120049505181887,0.39767074595799745,0.12840426848806696,0.00016486297026618857,1.26,0.01575064059074449,15.962261868346994,21.473777992080866,buy
220,0.058994167,2450000.0,98253232.0,19.0,1.0,True,0.8508104501066034,-54.3247673521019,16.690299287410927,0.1280506472089768,55.09827880259546,1.0,17.592912114014254,0.9547297668127251,6.233341452118012,0.32195760031392884,0.7735114504935573,0.005965335946583328,7.6000000000000005,0.4387562635567651,16.18791755943147,21.72821537377102,buy
221,0.21164766,2490000.0,99011818.0,23.0,4.0,True,0.8460716778486391,-51.326791977692906,17.59123277909739,0.7720723120843496,51.95398983401345,1.0,18.32876247030879,0.9652451217986949,5.761678391596805,0.2824907065451533,0.6271978563205455,0.003926044366178494,6.210000000000001,0.31998539289096484,17.209113189644082,23.08013056725169,buy
222,1.307673,2517000.0,99632818.0,23.0,0,False,-0.05,-41.9493539649984,18.32876247030879,0.6271978563205455,41.533828229291515,1.0,17.83707600950119,0.958481360403877,6.075000875333032,0.30861355466619966,-0.4155257357068833,-0.01,-4.140000000000001,-0.01,18.05507118091174,24.181962847367835,wrong
223,0.14402044,2499000.0,99218109.0,25.0,2.0,True,0.8390642219657631,-40.718328372484656,17.836233966745844,-0.4162373486214151,42.456922281788046,1.0,19.884927553444182,0.980824146814867,5.036984798524683,0.22408488960651485,1.7385939093033913,0.029774817786461627,17.25,0.948984460673973,17.502614396374778,23.51341223671582,buy
224,0.9662533,2568000.0,100938369.0,38.0,13.0,True,0.843726777162563,-33.50508222243986,19.879298099762472,1.733816555604784,36.178000386988366,1.0,23.083573634204278,0.9951487249770723,5.060317820250791,0.22591079834720618,2.672918164548508,0.06895243719649613,26.980000000000004,0.9993102656262011,19.72208755973291,26.649100456657404,buy
225,-0.12795836,2639000.0,103619037.0,34.0,4.0,True,0.8381681257905402,-2.8337777084549485,23.062989311163896,2.655747290705678,0.9306525134196,0.9868399625016601,20.720946555819477,0.9863439995657566,5.291608452062768,0.2442247233499163,-1.9031251950353485,-0.01,-19.720000000000002,-0.01,22.98787929186416,31.58172261979678,sell
226,0.16778982,2581000.0,101647037.0,34.0,0.0,True,0.8446440488669062,-14.85155377384949,20.720946555819477,-1.9031251950353485,15.319840911427342,1.0,21.286267220902612,0.9892306562411558,5.230811049167372,0.23937425997279793,0.46828713757785184,0.002190525721299408,4.760000000000001,0.2027412516544288,20.145145232186696,27.471262248818405,buy
227,-0.4666244,2595000.0,102059121.0,19.0,15.0,True,0.8667196305368217,-15.60796799221998,21.210357482185273,0.40540680000342755,14.26756844086582,1.0,19.585654394299286,0.9784197898394966,6.750234000739358,0.36596846792486315,-1.3403995513541607,-0.01,-13.680000000000001,-0.01,20.670767010305617,28.13393943222199,sell
