,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
297,20200306,4260,4320,4205,1257712,-130,4191.0,4536.5,4956.666666666667,29.545454545454547,5226.587675589124,4536.5,3846.412324410876
298,20200309,4045,4150,4010,1436140,-215,4192.0,4495.25,4937.75,27.95698924731183,5199.156776498138,4495.25,3791.3432235018618
299,20200310,4005,4030,3905,1287246,-40,4168.0,4448.5,4916.166666666667,29.799426934097426,5152.240719299374,4448.5,3744.759280700626
300,20200311,3965,4060,3950,1426184,-40,4133.0,4394.75,4890.916666666667,31.32530120481928,5073.332898399304,4394.75,3716.167101600696
301,20200312,3705,3915,3640,1853096,-260,3996.0,4330.25,4862.833333333333,28.10810810810811,5013.568922612275,4330.25,3646.931077387725
302,20200313,3500,3570,3300,2677600,-205,3844.0,4256.75,4829.833333333333,29.21348314606741,4964.791488897366,4256.75,3548.708511102633
303,20200316,3520,3775,3470,1669943,20,3739.0,4183.75,4798.166666666667,22.699386503067483,4879.414250914189,4183.75,3488.0857490858107
304,20200317,3420,3565,3300,1628084,-100,3622.0,4111.5,4766.0,22.289156626506024,4809.290083047903,4111.5,3413.7099169520966
305,20200318,3240,3520,3240,1466336,-180,3477.0,4038.0,4730.833333333333,21.142857142857142,4776.623043236535,4038.0,3299.3769567634654
306,20200319,2270,3275,2270,6821641,-970,3190.0,3922.25,4680.5,14.595660749506903,4950.498389252325,3922.25,2894.0016107476754
307,20200320,2735,2740,2270,6931246,465,3037.0,3833.25,4637.916666666667,28.06722689075631,4945.568636902214,3833.25,2720.931363097786
308,20200323,2670,3300,2395,5643272,-65,2867.0,3754.75,4592.083333333333,25.38071065989848,4958.969560545335,3754.75,2550.5304394546647
309,20200324,2815,2980,2750,3628319,145,2746.0,3675.0,4547.833333333333,28.52512155591572,4906.0402105536605,3675.0,2443.9597894463395
310,20200325,3160,3310,3005,7830678,345,2730.0,3616.0,4506.833333333333,30.660377358490564,4826.841030028302,3616.0,2405.158969971698
311,20200326,3350,3555,3190,7064621,190,2946.0,3571.0,4472.166666666667,35.95679012345679,4750.744040035804,3571.0,2391.2559599641963
312,20200327,3375,3570,3165,4228453,25,3074.0,3536.5,4438.416666666667,39.01639344262296,4696.634043979401,3536.5,2376.365956020599
313,20200330,3305,3330,3150,2405886,-70,3201.0,3499.75,4402.0,38.63636363636363,4640.155519979626,3499.75,2359.3444800203742
314,20200331,3370,3490,3305,3438811,65,3312.0,3462.0,4366.666666666667,40.41867954911433,4566.537912432163,3462.0,2357.462087567837
315,20200401,3395,4050,3215,15647296,25,3359.0,3424.75,4333.416666666667,44.599303135888505,4484.66261432252,3424.75,2364.83738567748
316,20200402,3420,3670,3250,5207641,25,3373.0,3376.25,4302.416666666667,48.513011152416354,4339.4056208630045,3376.25,2413.0943791369955
317,20200403,3415,3485,3330,2362951,-5,3381.0,3334.0,4274.833333333333,48.03738317757009,4208.428956519625,3334.0,2459.571043480375
318,20200406,3455,3495,3410,3138502,40,3411.0,3304.5,4246.083333333333,50.66921606118547,4118.729083243776,3304.5,2490.270916756224
319,20200407,3520,3620,3465,4816426,65,3441.0,3280.25,4218.083333333333,55.60000000000001,4036.4012745476266,3280.25,2524.0987254523734
320,20200408,3505,3550,3440,2630742,-15,3463.0,3257.25,4189.5,89.96763754045307,3954.368892298868,3257.25,2560.1311077011324
321,20200409,3670,3990,3520,14862204,165,3513.0,3255.5,4163.833333333333,87.55020080321285,3948.2762986707903,3255.5,2562.7237013292097
322,20200410,3885,3945,3670,8636976,215,3607.0,3274.75,4142.083333333333,93.5483870967742,4013.502157357256,3274.75,2535.997842642744
323,20200413,3785,3890,3720,2877828,-100,3673.0,3288.0,4119.333333333333,85.92592592592592,4052.9143742929664,3288.0,2523.0856257070336
324,20200414,3810,3835,3725,2657785,25,3731.0,3307.5,4096.833333333333,81.55339805825243,4104.108435807706,3307.5,2510.891564192294
325,20200416,3790,3825,3680,2225960,-20,3788.0,3335.0,4074.5,75.58139534883722,4157.927700347971,3335.0,2512.072299652029
326,20200417,3950,4030,3810,7641100,160,3844.0,3419.0,4056.1666666666665,78.89447236180904,4124.539509878788,3419.0,2713.4604901212124
327,20200420,4030,4245,3990,7545645,80,3873.0,3483.75,4039.6666666666665,86.06965174129353,4163.53581185547,3483.75,2803.9641881445305
328,20200421,4070,4175,3810,5721392,40,3930.0,3553.75,4024.75,85.71428571428571,4169.224410515985,3553.75,2938.2755894840143
329,20200422,4255,5050,4240,23848067,185,4019.0,3625.75,4017.25,87.71929824561404,4215.048523670304,3625.75,3036.451476329696
330,20200423,4295,4415,4255,4730828,40,4120.0,3682.5,4009.5,87.87878787878788,4299.415715474975,3682.5,3065.5842845250254
331,20200424,4160,4320,4145,3829379,-135,4162.0,3723.0,4001.3333333333335,78.98832684824903,4353.487113270367,3723.0,3092.512886729633
332,20200427,4210,4300,4175,2391589,50,4198.0,3764.75,3995.5,79.15057915057916,4407.987708782686,3764.75,3121.5122912173138
333,20200428,4210,4295,4170,2198639,0,4226.0,3810.0,3989.25,78.04878048780489,4444.775550883933,3810.0,3175.2244491160677
334,20200429,4170,4250,4170,1990073,-40,4209.0,3850.0,3979.1666666666665,76.49402390438246,4469.467513272488,3850.0,3230.532486727512
335,20200504,3990,4040,3820,3335957,-180,4148.0,3879.75,3965.6666666666665,62.59842519685039,4465.168440092213,3879.75,3294.331559907787
336,20200506,3880,4005,3820,3383264,-110,4092.0,3902.75,3948.8333333333335,49.78540772532189,4448.94112955082,3902.75,3356.5588704491806
337,20200507,3950,3995,3820,2476363,70,4040.0,3929.5,3933.3333333333335,57.26872246696036,4427.826198388164,3929.5,3431.173801611836
338,20200508,3955,3990,3950,1398424,5,3989.0,3954.5,3918.0833333333335,56.502242152466366,4402.751045732188,3954.5,3506.248954267812
339,20200511,3845,3900,3810,1921421,-110,3924.0,3970.75,3899.8333333333335,52.28215767634856,4376.351713507229,3970.75,3565.148286492771
340,20200512,3715,3840,3700,2479947,-130,3869.0,3981.25,3877.75,40.0,4346.994104532117,3981.25,3615.5058954678834
341,20200513,3715,3915,3600,2812905,0,3836.0,3983.5,3856.4166666666665,35.61643835616438,4342.040095386834,3983.5,3624.959904613166
342,20200514,3670,3755,3640,1245745,-45,3780.0,3972.75,3834.75,31.818181818181817,4354.593881710837,3972.75,3590.906118289163
343,20200515,3790,3835,3655,2540747,120,3747.0,3973.0,3814.9166666666665,27.536231884057973,4354.35809942887,3973.0,3591.64190057113
344,20200518,3740,3765,3665,1288029,-50,3726.0,3969.5,3796.1666666666665,23.444976076555022,4357.9958172233,3969.5,3581.0041827766995
345,20200519,3930,4330,3885,9841359,190,3769.0,3976.5,3783.1666666666665,39.54545454545455,4356.764381713565,3976.5,3596.235618286435
346,20200520,3900,3940,3790,2733824,-30,3806.0,3974.0,3771.75,35.648148148148145,4355.583542622058,3974.0,3592.4164573779417
347,20200521,3885,4020,3885,3268218,-15,3849.0,3966.75,3761.25,35.15981735159817,4349.3107794847765,3966.75,3584.189220515223
348,20200522,3825,3905,3805,1690398,-60,3856.0,3954.5,3754.3333333333335,34.52914798206278,4338.738207366212,3954.5,3570.261792633788
349,20200525,3820,3865,3760,1599427,-5,3872.0,3932.75,3744.5,40.95744680851063,4295.109972955072,3932.75,3570.3900270449285
350,20200526,3880,3930,3780,2560820,60,3862.0,3912.0,3736.8333333333335,50.0,4234.325922010626,3912.0,3589.6740779893744
351,20200527,3945,4015,3925,4711924,65,3871.0,3901.25,3731.75,49.717514124293785,4203.489557305128,3901.25,3599.0104426948715
352,20200528,4005,4130,3930,5836386,60,3895.0,3891.0,3730.75,52.659574468085104,4163.058817170111,3891.0,3618.941182829889
353,20200529,4045,4065,3940,2438334,40,3939.0,3882.75,3730.8333333333335,61.49425287356323,4123.861488734983,3882.75,3641.638511265017
354,20200601,4005,4040,3980,2126350,-40,3976.0,3874.5,3728.8333333333335,68.58974358974359,4085.092022640935,3874.5,3663.907977359065
355,20200602,4050,4085,4005,3145309,45,4010.0,3877.5,3727.3333333333335,70.3030303030303,4096.143545525589,3877.5,3658.856454474412
356,20200603,4150,4195,4050,5396820,100,4051.0,3891.0,3723.3333333333335,77.27272727272727,4139.849352018445,3891.0,3642.150647981555
357,20200604,4110,4330,4055,7389867,-40,4072.0,3899.0,3720.8333333333335,70.0,4164.64261706285,3899.0,3633.35738293715
358,20200605,4310,4545,4240,14279383,200,4125.0,3916.75,3725.25,80.0,4236.848031858992,3916.75,3596.651968141008
359,20200608,4315,4410,4245,4756268,5,4187.0,3940.25,3730.4166666666665,75.16339869281046,4302.112888398355,3940.25,3578.3871116016453
360,20200609,4440,4540,4330,11907833,125,4265.0,3976.5,3738.3333333333335,81.3953488372093,4383.305850498736,3976.5,3569.694149501264
361,20200610,4350,4400,4080,6186036,-90,4305.0,4008.25,3749.0833333333335,74.8663101604278,4427.395261216204,4008.25,3589.104738783796
362,20200611,4435,4535,4200,11840890,85,4370.0,4046.5,3764.6666666666665,81.77083333333334,4474.718402220175,4046.5,3618.281597779825
363,20200612,4215,4300,4160,3715166,-220,4351.0,4067.75,3776.25,66.80851063829788,4484.984646212416,4067.75,3650.515353787584
364,20200615,3895,4180,3865,4235320,-320,4267.0,4075.5,3784.1666666666665,50.5226480836237,4473.405767739047,4075.5,3677.5942322609535
365,20200616,4025,4055,3925,1953134,130,4184.0,4080.25,3797.25,52.66666666666667,4473.333642498642,4080.25,3687.166357501358
366,20200617,3920,4000,3875,1990164,-105,4098.0,4081.25,3824.75,47.249190938511326,4472.592241522686,4081.25,3689.9077584773145
367,20200618,3930,3960,3825,1469369,10,3997.0,4083.5,3844.6666666666665,46.20462046204621,4470.799625613039,4083.5,3696.200374386962
368,20200619,3990,3990,3860,1312183,60,3952.0,4091.75,3866.6666666666665,49.5114006514658,4463.385237834089,4091.75,3720.114762165911
369,20200622,3905,3940,3875,1187448,-85,3954.0,4096.0,3884.8333333333335,45.3968253968254,4456.8961069338375,4096.0,3735.1038930661625
370,20200623,3990,4010,3875,1755847,85,3947.0,4101.5,3898.6666666666665,44.87179487179487,4452.272005724516,4101.5,3750.727994275484
371,20200624,3930,3970,3885,1289894,-60,3949.0,4100.75,3908.3333333333335,44.30379746835443,4452.918638581007,4100.75,3748.581361418993
372,20200625,3840,3935,3830,1337259,-90,3931.0,4092.5,3916.0833333333335,34.01360544217687,4460.623620540709,4092.5,3724.376379459291
373,20200626,3870,3890,3805,1364246,30,3907.0,4083.75,3925.5,35.11705685618729,4464.090308145219,4083.75,3703.409691854781
374,20200629,3790,3850,3775,1043063,-80,3884.0,4073.0,3932.5,27.58620689655173,4473.267410614454,4073.0,3672.732589385546
375,20200630,3840,3860,3785,1102766,50,3854.0,4062.5,3939.9166666666665,31.91489361702128,4475.44672779912,4062.5,3649.5532722008807
376,20200701,3805,3885,3790,875411,-35,3829.0,4045.25,3946.3333333333335,26.838235294117645,4470.76703843677,4045.25,3619.7329615632298
377,20200702,3820,3845,3780,916019,15,3825.0,4030.75,3953.0833333333335,32.900432900432904,4466.103591922703,4030.75,3595.396408077296
378,20200703,3950,3995,3785,2591718,130,3841.0,4012.75,3961.3333333333335,52.84974093264248,4429.816841165778,4012.75,3595.6831588342225
379,20200706,3900,3970,3850,1162378,-50,3863.0,3992.0,3967.6666666666665,42.93785310734463,4387.593225422276,3992.0,3596.406774577724
380,20200707,3885,3925,3850,1391916,-15,3872.0,3964.25,3974.0,47.79874213836478,4304.195216174607,3964.25,3624.304783825393
381,20200708,3885,3895,3840,867642,0,3888.0,3941.0,3977.5833333333335,47.13375796178344,4232.369181623589,3941.0,3649.630818376411
382,20200709,3865,3905,3840,1048875,-20,3897.0,3912.5,3977.25,41.61073825503356,4096.877330493746,3912.5,3728.122669506254
383,20200710,3765,3850,3760,1304803,-100,3860.0,3890.0,3976.9166666666665,40.78947368421053,4024.238593556399,3890.0,3755.761406443601
384,20200713,3795,3835,3775,726696,30,3839.0,3885.0,3976.6666666666665,36.17021276595744,4025.427917452336,3885.0,3744.572082547664
385,20200714,3810,3835,3770,894283,15,3824.0,3874.25,3977.0,40.90909090909091,4002.557248431256,3874.25,3745.942751568744
386,20200715,3875,3880,3810,1290899,65,3822.0,3872.0,3975.75,52.75590551181103,3998.585939187573,3872.0,3745.414060812426
387,20200716,3840,3980,3835,1687342,-35,3817.0,3867.5,3972.5833333333335,47.65625,3991.8985530462473,3867.5,3743.1014469537527
388,20200717,3830,3855,3785,857849,-10,3830.0,3859.5,3968.5833333333335,53.50877192982456,3971.298926649588,3859.5,3747.701073350412
389,20200720,3810,3820,3770,1266205,-20,3833.0,3854.75,3961.1666666666665,47.22222222222222,3966.485177987955,3854.75,3743.014822012045
