,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
1304,20240404,226000,228500,216500,1357330,10000,224500.0,239075.0,225730.0,38.41059602649007,258851.94364657998,239075.0,219298.05635342002
1305,20240405,225500,230000,223000,1121453,-500,223000.0,237700.0,226395.0,38.666666666666664,257235.608513686,237700.0,218164.391486314
1306,20240408,232500,238000,226000,1245057,7000,224000.0,237150.0,227158.33333333334,46.753246753246756,256620.74728920285,237150.0,217679.25271079715
1307,20240409,228000,236500,228000,663665,-4500,225600.0,236475.0,227841.66666666666,41.666666666666664,256229.68298910413,236475.0,216720.31701089587
1308,20240411,241000,241000,220000,1853791,13000,230600.0,236100.0,228758.33333333334,43.125,255201.30885567793,236100.0,216998.69114432207
1309,20240412,238000,241500,237000,997710,-3000,233000.0,235425.0,229600.0,46.308724832214764,253210.5981063331,235425.0,217639.4018936669
1310,20240415,241500,243000,233500,1018783,3500,236200.0,235325.0,230521.66666666666,51.35135135135136,252949.6276556414,235325.0,217700.3723443586
1311,20240416,242000,244500,236500,1201766,500,238100.0,235300.0,231525.0,51.02040816326531,252885.22106770342,235300.0,217714.77893229658
1312,20240417,233500,243000,233500,1029202,-8500,239200.0,235100.0,232413.33333333334,43.31210191082802,252671.56794369814,235100.0,217528.43205630186
1313,20240418,231000,239000,228500,1168222,-2500,237200.0,234600.0,233235.0,45.945945945945944,252040.1834852733,234600.0,217159.8165147267
1314,20240419,235000,237000,229000,1174278,4000,236600.0,233750.0,234150.0,51.35135135135136,249266.1206491829,233750.0,218233.8793508171
1315,20240422,245000,246000,239500,1314974,10000,237300.0,233825.0,235153.33333333334,61.146496815286625,249542.10851270042,233825.0,218107.89148729958
1316,20240423,249500,251500,246000,1153091,4500,238800.0,234325.0,236228.33333333334,69.5364238410596,251316.9834039467,234325.0,217333.0165960533
1317,20240424,252500,253500,247500,1242059,3000,242600.0,234925.0,237291.66666666666,74.49664429530202,253518.7489495798,234925.0,216331.2510504202
1318,20240425,250000,254000,246000,1297404,-2500,246400.0,235225.0,238336.66666666666,67.91044776119402,254573.06191844548,235225.0,215876.93808155452
1319,20240426,249500,253500,243000,980459,-500,249300.0,235850.0,239235.0,67.91044776119402,256170.1870070135,235850.0,215529.8129929865
1320,20240429,251500,254500,245500,852780,2000,250600.0,236775.0,240260.0,65.32258064516128,258148.99120426507,236775.0,215401.00879573493
