timestep,action,reward,price,current_amt,qty,order_qty,is_order,reward,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
58,-0.14457104,-0.01,64400,85138798,1079,182,TRUE,-0.01,-2.599577709,-12.79315068,1.327790067,-15.14990708,-0.01,-12.79315068,-0.01,-19.88886026,-0.01,-17.74948479,-0.01,5.395,0.252529358,-10.88673541,-20.85983671,sell
59,-0.5242818,-0.01,64900,85618094,514,565,TRUE,-0.01,-19.01682709,-59.09763387,0.562958382,-42.62142195,-0.01,-59.09763387,-0.01,-64.54317843,-0.01,-61.63824904,-0.01,-5.14,-0.01,-44.51071603,-84.64738594,sell
60,0.0754706,0.495,63900,85103541,575,61,TRUE,0.495,-61.33807884,-53.88542964,-0.600986282,4.849781838,1,-53.88542964,-0.01,-60.1560567,-0.01,-56.488297,-0.01,2.875,0.079332428,-41.01505448,-78.42036643,buy
61,0.6430941,0.495,64400,85386634,1057,482,TRUE,0.495,-57.09637981,-16.41407223,0.332645383,35.70294486,1,-16.41407223,-0.01,-21.19955078,-0.01,-21.39343495,-0.01,-9.513,-0.01,-13.80318677,-26.1836788,buy
62,1.0504647,-0.05,63500,84435338,1057,0,FALSE,-0.05,-22.87891334,-17.99364882,-1.114104111,0.868889531,0.977059356,-17.99364882,-0.01,-20.79892934,-0.01,-22.01002381,-0.01,-12.684,-0.01,-14.99752451,-28.91903872,wrong
63,0.7596841,0.495,62300,83165073,1267,210,TRUE,0.495,-21.88483926,-1.543212951,-1.50442342,16.9497471,1,-1.543212951,-0.01,-4.513509981,-0.01,-4.935092163,-0.01,1.267,0.015924729,-2.884220982,-5.634941597,buy
64,0.20528214,0.479316181,62400,83291662,1280,13,TRUE,0.479316181,-4.630396946,-0.214196762,0.152214139,0.832103186,0.968632362,-0.214196762,-0.01,-3.514526795,-0.01,-3.79829376,-0.01,2.56,0.06343467,-1.940959748,-3.762917608,buy
65,0.35735786,0.498921,62600,83547494,1299,19,TRUE,0.498921,-4.259324301,0.781693649,0.307151993,1.123630009,0.998186909,0.781693649,0.006091819,-2.023586879,-0.01,-3.135694291,-0.01,-3.897,-0.01,-1.2247504,-2.356924026,buy
66,-0.06789282,-0.01,62300,83148789,1211,88,TRUE,-0.01,-1.736370453,-4.688418431,-0.47721958,-6.21755056,-0.01,-4.688418431,-0.01,-8.978847474,-0.01,-7.953921013,-0.01,10.899,0.695133716,-5.355771713,-10.29663457,sell
67,0.45078495,0.495,63200,84238209,1265,54,TRUE,0.495,-10.72112908,-3.431506849,1.310205492,2.774961804,1,-3.431506849,-0.01,-4.586622361,-0.01,-7.946167279,-0.01,-24.035,-0.01,-4.44059725,-8.528640106,buy
68,-0.19473425,-0.01,61300,81809949,1019,246,TRUE,-0.01,-11.55023251,-25.25641345,-2.882611144,-15.08570758,-0.01,-25.25641345,-0.01,-22.45113292,-0.01,-26.63594009,-0.01,-24.456,-0.01,-20.19004931,-36.57819636,sell
69,0.49470338,0.495,58900,79362991,1181,162,TRUE,0.495,-26.63594009,-13.37372354,-2.991027412,14.28498043,1,-13.37372354,-0.01,-10.56844301,-0.01,-12.35095966,-0.01,0,0,-11.33937813,-19.6086045,buy
70,0.21036427,0.495,58900,79362715,1215,34,TRUE,0.495,-10.71405058,-9.215442092,-0.000347769,2.570787087,1,-9.215442092,-0.01,-8.225343082,-0.01,-8.143263496,-0.01,13.365,0.83240958,-8.393139513,-14.20198542,buy
71,0.034070283,-0.01,60000,80699177,1219,4,TRUE,-0.01,-9.214925422,-9.979202989,1.683992288,-1.209563789,-0.01,-9.979202989,-0.01,-7.833988467,-0.01,-10.42448921,-0.01,-8.533,-0.01,-8.893943523,-15.09587454,buy
72,0.6378136,0.495,59300,79845195,1300,81,TRUE,0.495,-10.12237956,-3.673723537,-1.058228884,6.997338663,1,-3.673723537,-0.01,-1.858542019,-0.01,-3.125040899,-0.01,2.6,0.065365747,-4.398318003,-7.555052307,buy
73,1.3398453,-0.05,59500,80105195,1300,0,FALSE,-0.05,-3.939116186,-4.483188045,0.325630115,-0.311787891,-0.01,-4.483188045,-0.01,-1.842924018,-0.01,-4.250904077,-0.01,-6.5,-0.01,-4.979716114,-8.498817837,wrong
74,-0.16707107,-0.01,59000,79434173,1083,217,TRUE,-0.01,-2.628038044,-19.07845579,-0.837676008,-15.5683785,-0.01,-19.07845579,-0.01,-18.08835678,-0.01,-18.19641655,-0.01,10.83,0.690528415,-15.5056307,-26.68804606,sell
75,0.76248384,0.495,60000,80515504,1279,196,TRUE,0.495,-15.60596974,-1.407098381,1.361291947,13.93498225,1,-1.407098381,-0.01,-3.552312903,-0.01,-1.670987491,-0.01,24.301,0.99727527,-2.704072864,-4.653119509,buy
76,0.6558244,-0.002845014,61900,82945262,1318,39,TRUE,-0.002845014,-3.894906998,-0.698630137,3.017751712,0.029391449,0.004309972,-0.698630137,-0.01,-0.533613635,-0.01,-3.865515549,-0.01,-18.452,-0.01,-2.115450042,-3.725922375,buy
77,0.25630778,0.495,60500,81100024,1323,5,TRUE,0.495,-5.772315241,-2.299003736,-2.224645454,2.509524591,1,-2.299003736,-0.01,-0.153789215,-0.01,-3.26279065,-0.01,-15.876,-0.01,-3.226349852,-5.672449005,buy
78,0.4536894,0.497271634,59300,79512362,1330,7,TRUE,0.497271634,-1.794603661,-0.291407223,-1.9576591,2.49089539,1,-0.291407223,-0.01,0.368658784,0.00135817,0.696291729,0.004836488,11.97,0.761362353,-1.832718322,-3.241935939,buy
79,0.19069938,-0.007610682,60200,80709354,1331,1,TRUE,-0.007610682,0.194482966,-0.71369863,1.505416227,-1.411756989,-0.01,-0.71369863,-0.01,0.441416881,0.001946592,-1.217274023,-0.01,-3.993,-0.01,-2.127643114,-3.765702735,buy
80,0.36081406,0.454522468,59900,80310029,1334,3,TRUE,0.454522468,-3.361139528,-2.649564134,-0.494769169,0.699418412,0.913354533,-2.649564134,-0.01,0.650765899,0.004226008,-2.661721116,-0.01,-17.342,-0.01,-3.461416218,-6.119574717,buy
81,0.13003732,0.497799768,58600,78575829,1334,0,TRUE,0.497799768,-5.319421563,-5.307596513,-2.159381613,2.089638267,1,-5.307596513,-0.01,0.632997546,0.003998842,-3.229783296,-0.01,-21.344,-0.01,-5.304399741,-9.389003103,buy
82,-0.24168363,-0.01,57000,76411293,1012,322,TRUE,-0.01,-1.532060196,-26.90410959,-2.754709721,-21.65206914,-0.01,-26.90410959,-0.01,-22.61368055,-0.01,-23.18412934,-0.01,10.12,0.640896273,-20.00805403,-34.81977627,sell
