timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
29,0.33263385,0.8024985624272224,20170403, 083650.csv,6240.0,6100.0,3145.0,36055895.0,55680695.0,2984.0,0.06441013581319024,-0.20182395644283121,0.059811567178607215,1.1938462053195804,0.9991963476716865,6.936245863136543,1.0538929219600726,1.2582563411327707,0.015707421449365877,-2.466389104038748,-3.0827015690084525,buy
30,0.06511961,-0.7856695946714375,20170404, 083650.csv,6100.0,6050.0,3521.0,33709322.0,55187422.0,376.0,-0.7907588078776675,1.0532885662431941,1.2576507632145786,-0.8853031523034998,-0.9801352476688595,8.15262743455612,0.1586606170598911,-0.8853031523034998,-0.007806982681749064,-1.1530344323954083,-1.45620990177635,buy
31,-0.03537886,0.00031470738889805006,20170405, 083650.csv,6050.0,6170.0,3397.0,34464481.0,55016331.0,124.0,-0.31900384837690005,0.15640834845735027,-0.8875319452844075,0.011227522995732597,0.0006300877743735667,8.596265265676282,-0.15184936479128858,-0.30777632538116745,-0.0009468141530040164,-2.0383188101414977,-2.615700832011321,sell
32,-0.43971014,-0.32871044443226705,20170406, 083650.csv,6170.0,6190.0,1904.0,43482301.0,55229981.0,1493.0,0.7409436299923381,-0.17876406533575318,-0.33464899482716515,-0.3255367850045986,-0.41131909064730354,7.174060060824553,0.2359001814882033,0.4154068449877395,0.0017241404278790506,-2.4173626914579,-3.1380574866494646,sell
33,-0.45965892,-0.004001582293310624,20170407, 083650.csv,6190.0,6230.0,1029.0,48872187.0,55241697.0,875.0,0.0689480592071904,0.21981306715063523,0.3992909211695877,-0.0316797076814507,-0.00500545016758791,6.893664093530753,0.2571633393829401,0.03726835152573969,1.3889203798522765e-05,-2.0702056491332943,-2.654345537481414,sell
34,-0.7626778,-0.012785671980790414,20170410, 083650.csv,6230.0,6160.0,245.0,53717179.0,55243529.0,784.0,0.07450893479974013,0.24270235934664247,0.02283908889419966,-0.056766153029564885,-0.015982876990511596,6.293670707037527,0.2604882032667876,0.01774278177017525,3.148058094315509e-06,-2.087697613567292,-2.638262314646749,sell
35,-0.26338112,0.0002619461285511493,20170411, 083650.csv,6160.0,6180.0,181.0,54115245.0,55230205.0,64.0,-0.03104435996476619,0.25930127041742285,0.016558722660206412,0.008109275576055428,0.0003287477024700447,7.325296156994139,0.23630671506352086,-0.022935084388710763,-5.260167124432336e-06,-2.1644286234388748,-2.69697307496856,sell
36,-0.0694737,-6.803650674847006e-07,20170412, 083650.csv,6180.0,6200.0,169.0,54189045.0,55233465.0,12.0,0.0065543845075353244,0.2360889292196007,-0.023152306971713547,-0.00043453153247653177,-9.440878179223233e-07,7.0295535472321,0.24222323049001815,0.006119852975058793,3.745259342657903e-07,-2.165860780128813,-2.7064815203811894,sell
37,-0.23129702,-7.93235443627971e-06,20170413, 083650.csv,6200.0,6580.0,130.0,54429670.0,55235670.0,39.0,0.0061194784719734675,0.24150635208711435,0.005404663056375886,-0.0014121536754340032,-9.970840306072759e-06,6.731896236925596,0.2462250453720508,0.004707324796539464,2.2158904289248937e-07,-2.19000610015334,-2.7004062085766303,sell
38,-0.46958065,-0.007008849839797149,20170414, 083650.csv,6580.0,6620.0,69.0,54807250.0,55261270.0,61.0,0.0894349611401473,0.2450998185117967,0.0035848088835185154,-0.04196510278028342,-0.008766695704906735,1.046833838379691,0.2926860254083485,0.047469858359863885,2.253362064119635e-05,-2.177284732467883,-2.65007896456869,sell
