timestep,action,reward,current_date,stock_code,price,next_price,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
110,-0.24970138,0.6902662896432679,20200731,datas,296500.0,299000.0,-0.7958308367825231,65.45001960784313,-0.5158280731862543,0.5540659817839577,0.7845325792865357,65.05001960784314,1.0,-11.873057315233794,-0.01,-0.2417648549985654,-0.01,2.5500000000000003,0.06295596301634987,17.43461293654557,29.44511737374656,sell
111,0.24114482,0.7937239320955285,20200803,datas,299000.0,302000.0,0.4835297099971308,64.04853725490196,-0.8470729446046795,0.9758662024082294,0.991447864191057,66.44265490196078,1.0,-12.255569950110228,-0.01,1.4593959124053602,0.021073155821769385,3.33,0.10496190735636368,17.117126434394468,29.03099520107227,buy
112,0.11036788,0.293,20200804,datas,302000.0,315000.0,4.908877159908939,65.13627450980393,0.6630581857684061,-0.577338739471867,-0.01,72.28921568627452,1.0,-14.101316858104184,-0.01,4.331538420437072,0.17107222516175968,14.820000000000002,0.8887887796691389,17.49130554609887,29.53429163135202,buy
113,0.29848874,0.293,20200805,datas,315000.0,311000.0,3.248653815327804,66.47627450980393,0.8114510297496423,-0.683370415114148,-0.01,70.74686274509804,1.0,-13.276805893955213,-0.01,2.565283400213656,0.0636882476729298,-4.840000000000001,-0.01,17.94038525873913,30.160325231929463,buy
114,-0.084630296,0.293,20200806,datas,311000.0,314500.0,3.5628936114078553,72.62461960784313,3.6932260264372596,-3.6889747343195034,-0.01,72.40697254901961,1.0,-13.687702007193394,-0.01,-0.12608112291164794,-0.01,3.8850000000000002,0.14009404468578845,19.64949987991414,32.99915167872227,sell
115,0.2121424,0.7964361966613196,20200807,datas,314500.0,315000.0,0.0,70.88240784313726,-1.0092487205264928,1.0740099819589273,0.9968723933226393,72.71770196078431,1.0,-13.67283058359439,-0.01,1.0740099819589273,0.011468701659044789,0.5850000000000001,0.0034164007768725524,19.233982330189292,32.45748006193027,buy
116,-0.17763314,0.293,20200810,datas,315000.0,314000.0,0.8055074864691955,72.44778823529413,0.916057078031002,-0.915799465495254,-0.01,72.25759215686274,1.0,-13.5412244111846,-0.01,-0.11029197902605861,-0.01,-0.9700000000000001,-0.01,19.73819023504746,33.16733852453454,sell
117,0.31508663,0.293,20200811,datas,314000.0,302000.0,-2.7572994756514655,72.63570588235294,0.10897074933916913,-0.49106858852901825,-0.01,67.02786274509805,1.0,-11.67036210697296,-0.01,-3.2483680641804837,-0.01,-13.200000000000001,-0.01,19.878638426172063,33.26341731266525,buy
118,0.06725763,0.41766615276344493,20200812,datas,302000.0,308500.0,-1.6241840320902419,72.20416078431371,-0.249974416262012,0.23390540226232281,0.2393323055268899,69.81004313725491,1.0,-12.734335560969939,-0.01,-1.390278629827919,-0.01,7.215000000000001,0.40581362725408865,19.830118234204615,33.230978457341685,buy
119,0.3139398,0.798,20200813,datas,308500.0,304500.0,-2.4013903606118605,66.97912156862745,-3.0342119446409037,3.1059518514038524,1.0,68.15559215686274,1.0,-12.021922636036663,-0.01,0.7045614907919919,0.00495176831497357,-4.800000000000001,-0.01,18.371819712752384,30.925516749010765,buy
120,-0.10351375,0.293,20200814,datas,304500.0,304000.0,0.5636491926335936,70.01410980392157,1.8175854602557333,-1.6846634161820058,-0.01,68.1082274509804,1.0,-11.773429353753329,-0.01,-1.1210142235484122,-0.01,-0.54,-0.01,19.280916992586718,32.339890158199516,sell
121,0.036403544,0.7944247094601429,20200818,datas,304000.0,304000.0,-1.1210142235484122,68.31982352941176,-0.9965562719846228,0.9940383952029573,0.9928494189202859,68.1060980392157,1.0,-11.775558765518028,-0.01,-0.12697582834545487,-0.01,0.0,0,18.87971148590732,31.810237702435582,buy
122,0.17825574,0.3440200045187343,20200819,datas,304000.0,305000.0,0.12697582834545487,68.10525490196079,-0.1274767421636984,0.1389639983364279,0.09204000903746867,68.5523137254902,1.0,-11.9210590555749,-0.01,0.26593982668188276,0.0007069898789562323,1.1400000000000001,0.012911916635275689,18.896704920354914,31.856154996300678,buy
123,0.12052436,0.293,20200820,datas,305000.0,301000.0,-0.7978194800456483,68.10474901960785,-0.00030093190914002525,-0.020997713557098563,-0.01,66.72827843137254,1.0,-11.378230444367105,-0.01,-0.8188171936027469,-0.01,-4.680000000000001,-0.01,18.96269669845362,31.96256068598174,buy
124,0.11098179,0.293,20200821,datas,301000.0,310000.0,1.6376343872054937,68.56323529411765,0.2727384426577537,-0.2533863159923282,-0.01,70.89656862745099,1.0,-12.535384035270908,-0.01,1.3842480712131655,0.018979014036946462,10.71,0.6824249148668287,19.16071801853372,32.167332549800435,buy
125,0.028114177,0.7971017648867116,20200824,datas,310000.0,306500.0,0.41527442136394965,66.69656862745099,-1.1073984569705324,1.1244493340799264,0.9982035297734231,69.26323529411764,1.0,-12.097711451444496,-0.01,1.539723755443876,0.023428677512360885,-4.165,-0.01,18.696473673208246,31.533929619851754,buy
126,-0.03474234,0.293,20200825,datas,306500.0,310500.0,2.65952285031215,70.88858431372549,2.5147582345520365,-2.5275712650240036,-0.01,71.11407450980393,1.0,-12.613736141083635,-0.01,0.13195158528814635,0.00017409705194959546,4.6000000000000005,0.190711651828668,19.945567716323975,33.553369497691946,sell
127,-0.07465297,0.7928071436359848,20200826,datas,310500.0,304500.0,-1.4514674381696098,69.29436470588234,-0.9329000027973736,0.9557535449561576,0.9896142872719697,68.45514901960784,1.0,-11.722365773291557,-0.01,-0.4957138932134521,-0.01,-6.420000000000001,-0.01,19.547169749949035,33.01812196202302,sell
128,0.41171026,0.293,20200827,datas,304500.0,304500.0,-0.4957138932134521,70.97054901960784,0.9901004777315243,-1.1557573268040304,-0.01,68.14701960784313,1.0,-12.030495185056267,-0.01,-1.6514712200174826,-0.01,0.0,0,20.10120819810942,33.82505753035289,buy
129,0.07093569,0.7979986043592961,20200828,datas,304500.0,297000.0,-3.7158102450393358,68.14685098039216,-1.6515698495486781,1.5993129638462649,0.9999972087185922,64.58802745098039,1.0,-11.151617519433813,-0.01,-2.116497281193071,-0.01,-9.075000000000001,-0.01,19.3128386504429,32.675153232936644,buy
130,0.010123104,0.298,20200831,datas,297000.0,298000.0,-1.8342976437006615,68.14685098039216,0.0,0.0,0,65.06253725490197,1.0,-11.268823691843593,-0.01,-1.8342976437006615,-0.01,1.2100000000000002,0.0145343417219167,19.376952258364614,32.66044813117795,buy
131,0.22162372,0.7979999999710088,20200901,datas,298000.0,300500.0,-1.1287985499696378,64.58736862745099,-2.1168890955657877,2.1712152851161344,0.9999999999420175,66.30305490196079,1.0,-11.507595985613165,-0.01,1.0424167351464968,0.010807501235664874,3.1250000000000004,0.09303938211261642,18.353604940517176,31.102355871816677,buy
132,0.25787967,0.293,20200902,datas,300500.0,299500.0,0.7445833822474976,65.07690196078431,0.29743068220587965,-0.28490457776397826,-0.01,65.83572549019607,1.0,-11.38320942104653,-0.01,0.4596788044835194,0.0021108151227606786,-1.29,-0.01,18.578598228901505,31.365238886514597,buy
133,-0.11995502,0.293,20200903,datas,299500.0,294000.0,-1.225810145289385,66.31258431372548,0.7485495173847673,-0.5214312705854562,-0.01,63.40670196078432,1.0,-10.557795080635799,-0.01,-1.7472414158748413,-0.01,-6.2700000000000005,-0.01,19.014783772979094,31.982633379574178,sell
134,0.1626678,0.5029651274504094,20200904,datas,294000.0,305000.0,1.2096286725287362,65.86485882352942,-0.2692072232799334,0.3248121109307205,0.4099302549008189,68.4099568627451,1.0,-12.06341591831999,-0.01,1.5344407834594567,0.023270062368356936,12.98,0.8145192173731164,18.949821521426166,31.911914936591657,buy
135,0.060498092,0.7979997182732851,20200907,datas,305000.0,318000.0,5.161300817090899,63.3196,-1.53453772039647,1.6964186483008854,0.9999994365465702,74.5196,1.0,-13.646080473372777,-0.01,6.857719465391784,0.37517468396785847,15.47,0.9086638844956806,18.231688912160564,30.858209218611634,buy
136,-0.12754937,0.293,20200908,datas,318000.0,298500.0,1.2858223997609595,68.42347843137256,3.1250862917693585,-2.859819337033014,-0.01,65.77249803921569,1.0,-10.85472089569555,-0.01,-1.5739969372720541,-0.01,-20.28,-0.01,19.770036149969073,33.4173554529328,sell
