timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
43,0.8431532,1.921992459320624,20190103, 083650.csv,3380.0,3315.0,8744.0,153235.0,29707955.0,242.0,-1.5795667080398903,4.723592057761733,-2.0107393376122595,0.452144350427729,0.6401876265001422,5.197093862815884,0.452144350427729,0.002042256885996241,1.6504588635679893,2.2973354757252435,buy
44,1.0181972,-1.0,20190104, 083650.csv,3315.0,3390.0,8744.0,153235.0,29139595.0,0,2.7128661025663745,7.248935018050541,2.411436535614555,-2.418534163528497,-0.9999999999998012,7.564602888086642,0.2943319390378772,0.0008659377626922815,3.117292735372348,4.3787202184871825,wrong
45,0.83361655,3.1784541369960166,20190107, 083650.csv,3390.0,3495.0,8782.0,27248.0,29798228.0,38.0,3.3848172989355882,5.197032490974729,-1.9132148274763443,2.039969566543383,0.9999999990806729,10.903747292418773,5.424786865478971,0.25493448536285424,1.8923210995542001,2.6971892796985957,buy
46,0.60060805,-2.8903319651177504,20190108, 083650.csv,3495.0,3530.0,8786.0,13687.0,30720757.0,4.0,6.47960653376655,7.5748267148014445,2.2603244288575493,-2.351709931059281,-0.9999999999990214,12.015404332129965,4.127896602707269,0.15666862125616343,3.260956649374064,4.674656553686347,buy
47,0.7035696,-1.8064421278240037,20190109, 083650.csv,3530.0,3480.0,8788.0,6697.0,31028337.0,2.0,2.6536478160261012,10.905259927797834,3.095922452030451,-0.4290909888711401,-0.6017181600177477,10.429375451263539,-0.4290909888711401,-0.0018394968153723212,5.114000701469012,7.471859217823685,buy
48,0.0033901632,-2.949098300130613,20190110, 083650.csv,3480.0,3610.0,8788.0,6697.0,30588937.0,0.0,3.2896975813454077,12.015657039711192,1.0012123073659938,-1.0238977738984278,-0.994709450995727,14.553707581227437,2.26579980744698,0.050042932652240135,5.810803819853376,8.419549084273111,buy
49,-0.056677535,3.1250204886854074,20190111, 083650.csv,3610.0,3645.0,8290.0,1736892.0,31663792.0,498.0,3.257087223205034,10.419104693140795,-1.4252939176211732,1.2150434432429713,0.9993774289781691,15.357191335740072,4.472130666448005,0.18126885964414285,4.875772112164328,7.189077464717189,sell
50,-0.11596808,-2.9924440624590924,20190114, 083650.csv,3645.0,3655.0,7329.0,5200407.0,31914611.0,961.0,4.743168888656975,14.289158844765343,3.5048773148266212,-3.701397489700178,-1.0,15.47979061371841,1.0417713989567976,0.010794196487010632,6.953807828726554,10.50679008115896,sell
51,0.17740467,-2.730147015477165,20190115, 083650.csv,3655.0,3775.0,7581.0,4281737.0,31990293.0,252.0,3.8198284628415915,15.214732851985561,0.8098528474405774,-0.7317914053064869,-0.9312716364798655,18.772606498194946,3.0880370575351046,0.09095413423204568,7.545645582983583,11.30065331985869,buy
52,0.43579972,-3.0132269025638068,20190116, 083650.csv,3775.0,3600.0,8091.0,2417423.0,32960947.0,510.0,-1.0689316865281313,15.487462093862817,0.23671386039459644,-1.391071035982558,-0.9999371898036713,13.880949458483755,-1.391071035982558,-0.019164761646846995,7.766580013551621,11.521372609575964,buy
53,-0.44040307,-3.014432797849427,20190117, 083650.csv,3600.0,3670.0,4528.0,15845664.0,32146464.0,3563.0,0.3793869883260805,18.91286642599278,2.9660400099068376,-1.8227883150992201,-0.9999999390240436,17.19647653429603,-1.4434013267731396,-0.02061854396756635,9.622162363470398,14.44866881090682,sell
54,0.29093874,-0.12000847765058556,20190118, 083650.csv,3670.0,3595.0,5808.0,11237010.0,32552370.0,1280.0,-2.474402274468239,16.049855595667868,-2.4076543744799457,-0.09033836758196481,-0.039983784278999845,15.945018050541515,-0.09033836758196481,-8.160687655145438e-05,7.878740210711864,11.913498766719208,buy
55,0.29330748,-3.0071975601865804,20190121, 083650.csv,3595.0,3620.0,6705.0,7944553.0,32049029.0,897.0,0.36135347032785925,17.515895306859207,1.263284390718417,-1.3912471757742044,-0.9999373435244042,16.305606498194948,-1.0298937054463453,-0.010550756590524957,8.745338341109226,13.140358863558541,buy
56,0.037877142,3.011202394816444,20190122, 083650.csv,3620.0,3655.0,6788.0,7646126.0,32218686.0,83.0,-0.30896811163390353,15.70031046931408,-1.544969582884294,1.579772748011479,0.9999961920123218,17.170635379061373,1.2708046363775753,0.016019741113540875,7.732830256493129,11.81713367588593,buy
57,-1.183785,-1.0,20190123, 083650.csv,3655.0,3805.0,6788.0,7646126.0,32456266.0,0,4.447816227321513,16.312945848375453,0.5295019318239896,-0.5501402016760228,-0.7798114837486698,20.846447653429603,3.8976760256454903,0.14094195284129074,8.155013253210612,12.356654175205238,wrong
58,0.026264995,-2.7240029573508884,20190124, 083650.csv,3805.0,3815.0,6842.0,7448728.0,33482538.0,54.0,4.108361216220922,17.17053429602888,0.7373112609247938,-0.7354502830437628,-0.9330919234982442,21.122592057761732,3.3729109331771596,0.10753259020549166,8.707038312345707,13.088439618159958,buy
59,-0.48585874,-3.0119856671752845,20190125, 083650.csv,3815.0,3680.0,3518.0,20075782.0,33496952.0,3324.0,0.5270173333089313,20.80062093862816,3.098122462621823,-1.8412035634942305,-0.9999999564846815,19.21307581227437,-1.3141862301852993,-0.01712256817319968,10.644932889322725,16.208518784597555,sell
60,-0.59021217,2.9901101055760324,20190128, 083650.csv,3680.0,3615.0,1442.0,27982719.0,33289279.0,2076.0,-1.9975630698816547,20.880682310469314,0.06627562939583713,1.136254865165419,0.9984279512799551,19.839527075812274,-0.8613082047162358,-0.007391068948332746,10.769014237744102,16.26548721303734,sell
61,-0.4098615,2.5511082056281342,20190129, 083650.csv,3615.0,3660.0,851.0,30154029.0,33230394.0,591.0,-0.6675138586550827,20.16501444043321,-0.592044863047665,0.6163808033249409,0.8503755025047683,20.103570397111913,-0.05113305533014183,-2.614555167301802e-05,10.412693046301836,15.862766407288943,sell
62,0.44104946,2.7783789706478723,20190130, 083650.csv,3660.0,3665.0,4529.0,16856171.0,33432311.0,3678.0,-0.03834979149760638,19.958505415162456,-0.17185453372797316,0.719842964859057,0.9250451592617809,20.77601444043321,0.6814931733614505,0.004633561232185723,10.361164522787128,15.766633345760091,buy
63,-0.6111368,-2.996195260294775,20190131, 083650.csv,3665.0,3800.0,1762.0,26966763.0,33424493.0,2767.0,2.521524741437367,20.63423465703971,0.5633024849206281,-1.7833084972863795,-0.9999998757469944,21.524776173285197,0.7382162441509874,0.005434809923155148,10.864386209805522,16.405600449200797,sell
64,-1.697232,-1.0,20190201, 083650.csv,3800.0,4010.0,1762.0,26966763.0,33662363.0,0,1.8455406103774687,20.666039711191335,0.026364865862535267,-0.02684436268868562,-0.003596615668541192,22.86058844765343,1.8186962476887831,0.032535512727697835,10.975920540383965,16.44945122625596,wrong
65,0.21237075,2.79193201398616,20190207, 083650.csv,4010.0,3875.0,3268.0,21243151.0,34347831.0,1506.0,1.1070324985931725,21.52184476534296,0.7092343928747102,0.7281304417612843,0.9294102056652649,22.406682310469314,0.7281304417612843,0.0052877099862364,11.554583557089185,17.19237798214253,buy
66,-2.054173,-1.0,20190208, 083650.csv,3875.0,3910.0,3268.0,21243151.0,33906651.0,0,1.0679246479165503,23.99938989169675,2.038765236931596,-2.019367549798768,-0.9999999986034019,22.819606498194947,-0.9514429018822178,-0.009011586013814132,13.035374851760743,19.400141916235373,wrong
67,0.100833714,0.0,20190211, 083650.csv,3910.0,3875.0,3820.0,19103848.0,34040048.0,552.0,-1.284447917540994,22.40558844765343,-1.285330069313547,0.0,0,22.40558844765343,0.0,0,12.113858714291228,18.3132069394238,buy
68,-0.25357044,-1.1319570296156203,20190212, 083650.csv,3875.0,3880.0,2852.0,22882514.0,33934014.0,968.0,0.05633163441842808,22.865826714801443,0.37599448929150375,-0.30772852376095705,-0.37717158887150914,22.556945848375452,-0.25139688934252896,-0.0006318042872752727,12.4560620466741,18.69377836149805,sell
69,-1.406625,-1.0,20190213, 083650.csv,3880.0,3820.0,2852.0,22882514.0,33948274.0,0,-0.7541906680275868,22.50546570397112,-0.29329637089961713,0.2919406082498075,0.346979393620347,21.939184115523467,-0.46225005977777933,-0.0021344699499425968,12.312658306825439,18.520567702160054,wrong
70,-0.26545495,0.5039341174037347,20190214, 083650.csv,3820.0,3775.0,2095.0,25814852.0,33817752.0,757.0,-0.840454654141417,22.539537906137184,0.027812801633193173,0.19239151666205867,0.16895595108836547,21.745404332129965,-0.6480631374793583,-0.0041910512305166625,12.416666166697667,18.548614381291646,sell
