timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,average_line,average_slope,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,sharp_data,sortino_data,reward_log
59,-0.8651291,-1.26,002380.csv,20190617,267500.0,268000.0,25726810.0,22249310.0,76.0,13.0,True,-15.18987341772152,0.17274717306044715,-8.77017730496454,-1.1541007692340204,-1.2915129151291513,25858324.92857143,0.007394407613419168,-0.14748170097121416,-0.19547925060255322,6.442745758147053,-8.747127659574467,0.025265472089232983,0.003186632274635004,0.65,-9.88015088544528,-8.016427177254682,sell
60,-0.93925476,-1.03,002380.csv,20190618,268000.0,274000.0,25728030.0,25460030.0,12.0,1.0,True,-13.291139240506327,0.3031090831299976,-8.765851063829787,0.004742134761363729,-1.107011070110701,25872712.5,0.05563999782783205,-0.27978821480078625,-0.5428823362952362,4.54656477242122,-8.744574468085107,0.023320868329211368,0.0027156205116012355,0.6,-9.949585174543799,-8.007689381277958,sell
61,-0.080113426,1.19,002380.csv,20190619,274000.0,273500.0,25734030.0,25460030.0,0.0,1.0,True,-13.449367088607595,-0.0019429525806879061,-8.744574468085107,0.023320868329211368,1.107011070110701,25893788.92857143,0.08146199812419785,0,0,4.703019570877098,-8.746347517730497,-0.0019429525806879061,-1.8875145516239478e-05,-0.05,-9.995593295207232,-7.981246195332112,wait
62,0.091383845,1.08,002380.csv,20190620,273500.0,278000.0,25733220.0,23271720.0,8.0,9.0,True,-12.025316455696203,0.01748691298861835,-8.747446808510638,-0.0031475831807144077,0.850943128634238,25912081.64285714,0.07064518188579329,0.157384112831585,0.21940403216501336,3.42148666846216,-8.603829787234043,0.157384112831585,0.11648657744492263,4.05,-10.022706756346036,-8.060235529533877,buy
63,-1.306442,0.06,002380.csv,20190621,278000.0,277500.0,25769612.0,25769612.0,9.0,0.0,True,-12.183544303797468,-0.017459644940660487,-8.618397163120568,0.14142031195474178,0,25926463.42857143,0.0555022398914514,0.017459644940660487,0.0030437503853019132,3.565147140676901,-8.618397163120568,0.0,0,-0.0,-9.992981734228213,-7.977968902376005,sell
64,-1.0226719,0.1,002380.csv,20190624,277500.0,281000.0,25769612.0,25769612.0,0,0.0,False,-11.075949367088606,0.0,-8.618397163120568,0.0,0,25951445.14285714,0.09635604313923661,0,0,2.4575522039680386,-8.618397163120568,0.0,0,0.0,-10.063452991950431,-7.973270173873739,wrong
65,0.16418669,-0.13,002380.csv,20190625,281000.0,281500.0,25769054.0,21835054.0,14.0,14.0,True,-10.917721518987342,0.0,-8.620375886524823,-0.0021653411002074846,0.0,25910415.42857143,-0.15810184773854755,0.027164365443915792,0.00735186931766596,2.3221683274979803,-8.595553191489362,0.027164365443915792,0.003682715856874186,0.7000000000000001,-10.162162066759137,-8.108581354178934,buy
66,-0.7287651,-0.01,002380.csv,20190626,281500.0,275000.0,25771433.0,24645433.0,10.0,4.0,True,-12.974683544303797,-0.3530408494643905,-8.611939716312058,0.009232003627296525,0.1779359430604982,25888232.64285714,-0.08561339271243927,0.2521539488407426,0.47049683634407424,4.270545246431457,-8.70413829787234,-0.10088690062364788,-0.049617585291391486,-2.6,-10.249966733964524,-8.11856480021059,sell
67,-1.2276787,-0.09,002380.csv,20190627,275000.0,275500.0,25743627.0,25743627.0,4.0,0.0,True,-12.81645569620253,0.007768368082991651,-8.71054255319149,-0.10789465995158282,0,25864063.714285713,-0.09335874296578367,-0.007768368082991651,-0.000603293372056779,4.1059131430110405,-8.71054255319149,0.0,0,0.0,-10.43691529025865,-8.330249393099178,sell
68,-0.81419456,-0.09,002380.csv,20190628,275500.0,276000.0,25743627.0,25743627.0,0,0.0,False,-12.658227848101266,0.0,-8.71054255319149,0.0,0,25839894.785714287,-0.09344598296081351,0,0,3.9476852949097765,-8.71054255319149,0.0,0,0.0,-10.491725151476484,-8.314115727159798,wrong
