timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,sharp_data,sortino_data,reward_log
171,1.0483664,-54.44,003240.csv,20210413,1037000.0,1000000.0,15789616.0,234616.0,1.0,15.0,True,47.275405007363766,-3.2806065550192236,21.458584615384616,1.9884880035949393,4.57582251355099,-3.51496831841889,-1.0,-30.08605116120992,17.189353846153846,-3.51496831841889,-1.0,-55.5,12.970782540456504,22.203924499754077,buy
172,-0.21822241,-29.41,003240.csv,20210414,1000000.0,977000.0,15229690.0,3229690.0,3.0,12.0,True,43.888070692194404,-2.2645795601280665,17.151461538461536,-3.5461660372234514,0,0.452329934561164,0.8707521883658894,-28.859686076809787,15.028384615384615,-1.8122496255669025,-0.9999999261510116,-27.6,9.978184098741423,16.547262785567234,sell
173,0.06585358,12.61,003240.csv,20210415,977000.0,988000.0,14953690.0,3229690.0,0.0,12.0,True,45.50810014727541,0.8827252671414213,15.028384615384615,-1.8122496255669025,-1.4748518845329637,0,0,-29.464330916506174,16.043769230769232,0.8827252671414213,0.9796773547729842,13.200000000000001,8.546961074501642,14.191278294572363,wait
174,1.0080342,36.48,003240.csv,20210416,988000.0,1011000.0,15085270.0,265270.0,3.0,15.0,True,48.89543446244477,1.829548399841174,16.04053846153846,0.8799165958368804,-0.3080191184280453,2.28699917204001,1.0,-30.201049847060155,18.694384615384614,2.28699917204001,0.9999999999956106,34.5,9.229372197026779,15.292197701265648,buy
175,0.119899094,70.28,003240.csv,20210419,1011000.0,1055000.0,15430270.0,265270.0,0,15.0,False,55.37555228276878,4.277306877974268,18.694384615384614,2.28699917204001,0,0,0,-31.60424459046109,23.77130769230769,4.277306877974268,1.0,66.0,10.971110369624943,18.233185697833438,wrong
176,-0.047137797,43.02,003240.csv,20210420,1055000.0,1082000.0,16090270.0,265270.0,0.0,15.0,True,59.3519882179676,2.517049123476486,23.77130769230769,4.277306877974268,0,0,0,-32.465295910275294,26.886692307692307,2.517049123476486,0.9999999999999826,40.5,14.036043388922247,23.74776896572296,wait
177,0.8940109,-12.73,003240.csv,20210421,1082000.0,1074000.0,16495270.0,265270.0,0,15.0,False,58.173784977908696,-0.7274812719040064,26.886692307692307,2.517049123476486,0,0,0,-32.210169593293315,25.963615384615384,-0.7274812719040064,-0.9290759012076191,-12.0,15.982995770660814,27.144263520681726,wrong
178,0.035912454,79.58,003240.csv,20210422,1074000.0,1124000.0,16375270.0,265270.0,0,15.0,False,65.53755522827687,4.580077152926333,25.963615384615384,-0.7274812719040064,0,0,0,-33.80470907443072,31.732846153846157,4.580077152926333,1.0,75.0,15.429967351359647,26.29628521328519,wrong
179,0.1737243,30.16,003240.csv,20210423,1124000.0,1143000.0,17125270.0,265270.0,0,15.0,False,68.33578792341679,1.6642073380448892,31.732846153846157,4.580077152926333,0,0,0,-34.41063407726294,33.92515384615385,1.6642073380448892,0.9999990318998749,28.5,18.741345616231662,32.56497131966908,wrong
180,0.40701157,-74.55,003240.csv,20210426,1143000.0,1096000.0,17410270.0,265270.0,0,15.0,False,61.413843888070694,-4.049334099930673,33.92515384615385,1.6642073380448892,0,0,0,-32.911766964993774,28.502076923076924,-4.049334099930673,-1.0,-70.5,20.10228945102047,34.91912459082473,wrong
