timestep,action,reward,current_amt,order_qty
189,-0.2518450617790222,0.004318772541718598,25504932.0,85.0
190,0.15085460245609283,-0.007926264355740035,25708706.0,27.0
191,0.11053302884101868,0.002203867960966424,25652172.0,16.0
192,-0.11720293760299683,-0.015876198270689854,26066001.0,34.0
193,0.3777013421058655,-0.006019822250450963,26223864.0,62.0
194,0.191119983792305,6.2538848446252815e-06,26223700.0,19.0
195,0.26324719190597534,0.020138671824473767,25706015.0,22.0
196,0.31416237354278564,0.0028701122448434205,25632447.0,20.0
197,-0.044182002544403076,0.0015766977429281291,25592096.0,17.0
198,-0.07378704845905304,0.014773479395877384,25219516.0,27.0
199,0.20608314871788025,-0.0054049509146880965,25356567.0,18.0
200,-0.1363896131515503,0.011708439935862727,25063117.0,49.0
201,0.3133087754249573,-0.0012312100101326958,25094013.0,37.0
202,-0.10645370930433273,-0.004015252442352263,25195178.0,37.0
203,0.08898057788610458,3.2546016097735845e-06,25195096.0,10.0
204,0.3498777151107788,-0.006337174403627102,25355780.0,38.0
205,0.4326987862586975,-0.0042315030253662015,25463529.0,30.0
206,-0.20934751629829407,-0.013292548360951888,25806564.0,81.0
207,0.18695290386676788,0.002407730280138987,25744578.0,22.0
208,0.053572364151477814,-0.008918074196738896,25976236.0,5.0
209,0.060166891664266586,-0.0064242564304815225,26144193.0,5.0
210,0.28180578351020813,7.91769089839629e-06,26143986.0,24.0
211,0.015099182724952698,0.012724920228114242,25815486.0,0.0
212,0.17491906881332397,0.007123347055545113,25632894.0,11.0
213,-0.323224812746048,-0.006822433158327023,25808974.0,121.0
214,-0.06467831134796143,-0.008753008953647471,26036875.0,16.0
215,0.5837239027023315,3.618076602056089e-05,26035933.0,109.0
216,0.1927121877670288,0.010813511687221597,25757405.0,15.0
217,0.24316558241844177,-0.0014023646274419403,25793577.0,15.0
218,0.4385276734828949,-0.0029154589951825346,25868997.0,21.0
219,0.037989117205142975,0.00934107839185404,25629589.0,1.0
220,-0.4224903881549835,0.013295015433722919,25293314.0,168.0
221,-0.6411406993865967,0.008891722687257221,25070395.0,148.0
222,0.12274442613124847,0.005065135773861903,24944050.0,43.0
223,-0.2662760615348816,-0.003932947539149482,25042541.0,33.0
224,-0.5427130460739136,-0.005033012944621482,25169218.0,51.0
225,0.2298280894756317,0.0005418676972236823,25155587.0,88.0
226,-0.11185280233621597,-0.00923257115143197,25390002.0,14.0
227,0.302442729473114,0.0009534484933010436,25365817.0,92.0
228,0.08017920702695847,-0.000817912423890401,25386581.0,16.0
229,-0.1976281702518463,0.0001713403297235641,25382232.0,44.0
230,0.4394320845603943,-0.007748265119484281,25580436.0,103.0
231,-0.5122230648994446,0.0039136265961778,25480714.0,145.0
