timestep,action,reward,price,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
113,-0.03900157,2.356239108563873,47150.0,45841482.0,1.0,-10.811342589430327,-12.431019714330793,2.356239108563873
114,-0.23100266,0.21171482077046072,46000.0,45803004.0,7.0,-10.992566058586787,-12.689090335347618,0.21171482077046072
115,0.028434366,0.20629292920550268,45900.0,45800229.0,27.0,-11.032831375893155,-12.75101462776517,0.20629292920550268
116,-0.4402331,-0.6353682610415604,45800.0,45793200.0,23.0,-11.316474881956786,-13.099489014747592,-0.6353682610415604
117,-0.5384692,-1,46100.0,45800990.0,16.0,-11.545153392291349,-13.307775080153377,-1.3901097418662158
118,-0.52592945,-0.4247513555890068,46750.0,45809554.0,7.0,-11.501151744074008,-13.201609125232515,-0.4247513555890068
119,-0.78090006,-0.1062779823926746,46950.0,45810569.0,5.0,-11.559966740340819,-13.213737293159694,-0.1062779823926746
120,-0.631088,-1,47000.0,45810593.0,1.0,-11.558416550756094,-13.157264047908036,-2.656845841542333
121,-0.7234633,0.5175890046077514,48250.0,45811843.0,0.0,-11.5270316871542,-13.067674816717762,0.5175890046077514
122,-0.20077527,-1,48000.0,45811593.0,0.0,-11.836843474563082,-13.434574164910215,-3.329840767597844
123,-0.78093445,-1,49600.0,45813193.0,0.0,-12.16779257788344,-13.754428166449589,-1.6111570039266536
124,-0.5080811,-0.9909721224463534,50400.0,45813993.0,0.0,-12.190736629295113,-13.725148542478685,-0.9909721224463534
125,-0.5650135,2.9436807402403518,50900.0,45814493.0,0.0,-12.448524322561349,-13.959667974348523,2.9436807402403518
126,0.19027069,-1,49400.0,45811759.0,176.0,-12.933635742009745,-14.525163837791927,-1.146549469443173
127,-0.6872935,-1,50100.0,45925706.0,121.0,-11.885894779409936,-13.345960927871484,-1.8740719162445405
128,0.2640504,1.2171039520181295,51100.0,45980096.0,222.0,-11.563921189793868,-12.944812517569021,1.2171039520181295
129,-0.16554259,-0.2969326124458047,50200.0,45726106.0,46.0,-13.528348881111352,-15.086786537607344,-0.2969326124458047
130,0.35727063,-1,50400.0,45770782.0,241.0,-12.978112359173071,-14.426283152800098,-1.9965049246190865
131,-0.039581954,-0.37270427145226687,52500.0,46762531.0,18.0,-3.69630051296624,-5.068258918799122,-0.37270427145226687
132,-0.38538736,0.5174869517344017,52900.0,46929331.0,175.0,-2.738741180631062,-3.7574094466949783,0.5174869517344017
133,-0.5347564,0.812437107679564,52500.0,46804488.0,149.0,-3.9487133781483883,-5.442059856066485,0.812437107679564
134,0.34535974,0.5389614129582124,52000.0,46737039.0,264.0,-4.3716495307702985,-6.053356047621489,0.5389614129582124
135,-0.47926784,-1,51500.0,46523557.0,189.0,-5.749562918366484,-7.945063063532474,-3.4476106143827057
136,-0.74324304,0.523779396361136,53800.0,46983842.0,153.0,-2.6178784006695914,-3.726142320706111,0.523779396361136
137,-0.28736594,9.209489368125748,53500.0,46966626.0,15.0,-2.6859255035218506,-3.831209898101597,9.209489368125748
138,-0.4268647,-0.3031819922684062,48350.0,46769657.0,16.0,-3.97556259074158,-5.66927920615738,-0.3031819922684062
139,-0.08963215,-0.20169578565646104,48500.0,46772879.0,1.0,-4.078441402670164,-5.795185364343753,-0.20169578565646104
140,-0.1430865,3.5334790058852086,48600.0,46774741.0,3.0,-4.071433329530915,-5.764689972711437,3.5334790058852086
141,-0.5299308,-1,46850.0,46742550.0,9.0,-4.419001874464024,-6.275268971784153,-2.0094564473521523
142,0.051641524,0.49146226374017704,47800.0,46750761.0,50.0,-4.299509784291523,-6.084203162071341,0.49146226374017704
143,-0.17780478,-1,47550.0,46735231.0,10.0,-4.356364869616819,-6.176185927118328,-1.1989220790511854
144,-0.6321392,-1,48150.0,46762260.0,30.0,-4.354062850048352,-6.152032485942153,-4.581477320490066
145,-0.8059794,0.5926741991552819,50400.0,46803769.0,15.0,-4.147463311281049,-5.841153098157078,0.5926741991552819
146,-0.026767999,1.8880883723999278,50100.0,46802569.0,0.0,-4.466735079591914,-6.29589807852329,1.8880883723999278
147,0.13034108,0.617122926370232,49150.0,46797911.0,123.0,-4.381705035281512,-6.182834952673682,0.617122926370232
148,-0.6629039,2.152914814794531,48800.0,46746731.0,84.0,-4.727114009030562,-6.6949324499930105,2.152914814794531
149,0.06595114,2.4358532938190947,47700.0,46699018.0,61.0,-5.259248174848226,-7.474726270003944,2.4358532938190947
150,-0.80303633,2.1100668952317103,46400.0,46557496.0,83.0,-6.122168789856128,-8.727439056032843,2.1100668952317103
151,-0.584839,-1,45400.0,46535602.0,12.0,-6.2791364201774735,-8.969710126869362,-1.2008167272694612
152,0.2395634,-1,45950.0,46538987.0,240.0,-6.251080305200699,-8.900402761225779,-2.2156784312087066
153,-0.52287203,0.09301221452803794,47300.0,46865041.0,130.0,-3.979882543542265,-5.736185308890076,0.09301221452803794
154,-0.32833806,0.19456664852887406,47250.0,46856066.0,39.0,-4.116748918799013,-5.940757908379367,0.19456664852887406
155,-0.15162751,3.6551149856791416,47150.0,46847138.0,12.0,-4.3235113222809165,-6.246768762297998,3.6551149856791416
156,-0.37291953,-1,45300.0,46719480.0,25.0,-5.031786113947757,-7.294018950228767,-2.1154668231276297
157,-0.68980515,1.4909210895476468,46300.0,46760276.0,29.0,-4.782860608522142,-6.9124919958670965,1.4909210895476468
158,-0.06905237,-1,45600.0,46750476.0,0.0,-4.55371851758701,-6.58922069298897,-7.1380195820443575
159,0.28052673,-1,48900.0,46794843.0,264.0,-4.410673378277328,-6.363679880253208,-4.49781237488884
160,-0.8153552,-1,52000.0,47637347.0,226.0,1.2721881999220959,2.0061712419466535,-4.534797177743111
161,0.10102591,0.9313432476688023,54500.0,47766705.0,83.0,2.273099520737829,3.5792917775876556,0.9313432476688023
162,-0.50064343,-1,53900.0,47679777.0,67.0,1.6244078317499138,2.5677187269997983,-4.11040668691682
163,-0.9247786,2.116387687786123,56300.0,47837247.0,62.0,2.594316168064812,4.098429634609052,2.116387687786123
164,-0.42009133,3.2517343031238104,55100.0,47829867.0,2.0,2.411244496836706,3.813189545486637,3.2517343031238104
165,-0.058871567,-1,53300.0,47822667.0,0.0,2.3283329349080244,3.6858654686301686,-1.1206850240430535
166,-0.06654343,-1,53900.0,47825067.0,0.0,2.3388441056773863,3.6914381364490696,-1.6622313793559038
167,-0.24796669,0.18164543330479688,54800.0,47828667.0,0.0,2.445976730499885,3.849047719761873,0.18164543330479688
168,-0.1254224,4.731454805365063,54700.0,47828267.0,0.0,2.3346987036684985,3.6760757230541983,4.731454805365063
169,-0.11529055,-0.1911020722460977,52100.0,47817867.0,0.0,2.2326205095965688,3.5198531256520926,-0.1911020722460977
170,-0.9063073,3.061788080059499,52200.0,47818011.0,3.0,2.1952279944985684,3.4508154521651835,3.061788080059499
171,-0.5127876,-1,50600.0,47816411.0,0.0,2.3831272223860562,3.7488038908993477,-1.5793546022244027
172,-0.38366827,-0.7773735978471351,51400.0,47817211.0,0.0,2.2959811195306212,3.601307490096618,-0.7773735978471351
173,-0.73128897,-1,51800.0,47817611.0,0.0,2.2931250581611398,3.5865231353712743,-3.6639802364913563
174,-0.28846303,0.18601061962989082,53700.0,47819511.0,0.0,2.03688241083516,3.176665699332017,0.18601061962989082
175,-0.6593665,-1,53600.0,47819411.0,0.0,2.054141882961431,3.2056672558453725,-1.4908643526345524
176,0.15147239,-1,54400.0,47819192.0,132.0,1.9733292157616755,3.0816119021651858,-1.7161147164018802
177,0.48401362,0.0,55500.0,47962711.0,353.0,2.874971440732971,4.485970263652045,0.0
178,0.017362595,2.7160136570072595,55500.0,47962664.0,6.0,2.394241515414274,3.738414727034972,2.7160136570072595
179,-0.028347582,-1,52000.0,46239555.0,13.0,-6.822819809218778,-6.947188094465981,-1.2420342197364276
180,-0.831774,2.0398321569627447,53400.0,46875259.0,398.0,-3.280149948352063,-3.425959112379345,2.0398321569627447
181,0.075766385,0.0,52200.0,46777607.0,61.0,-3.9689395894659283,-4.159057367612573,0.0
182,-0.005497843,-0.8060723793156002,52200.0,46777607.0,0.0,-4.06781153146998,-4.251009360754002,-0.8060723793156002
183,0.0026339293,2.229212481717015,52700.0,46848600.0,1.0,-3.855668800298182,-4.019521422677466,2.229212481717015
184,0.15818328,-0.830022744712017,51300.0,46647519.0,121.0,-4.900235539069018,-5.125330733692916,-0.830022744712017
185,0.20887518,1.617871784287774,51900.0,46804939.0,133.0,-4.227925713911943,-4.417135848560347,1.617871784287774
186,-0.14774612,-0.37513033116937833,50400.0,46204640.0,58.0,-7.094944633649739,-7.332062784991296,-0.37513033116937833
187,-0.3157338,-0.4413836674104754,50700.0,46297433.0,107.0,-6.745558656838362,-6.956164366158898,-0.4413836674104754
188,-0.45150667,0.3369348491106103,51000.0,46358324.0,104.0,-6.771578372899021,-6.966043972812209,0.3369348491106103
189,-0.7968111,-1,50800.0,46324300.0,101.0,-6.976003361891431,-7.193247443295452,-3.2473726268832466
190,0.1645186,0.772304355344694,52500.0,46369157.0,140.0,-6.710714111963046,-6.902362821561086,0.772304355344694
191,-0.41138354,-1,52000.0,46279851.0,68.0,-7.01542643403524,-7.238202374965927,-2.050993123418789
192,-0.080848575,-1,53200.0,46397953.0,8.0,-6.62484647343534,-6.823382989665821,-1.6835699059486753
193,-0.059568167,0.332005299746517,54200.0,46488509.0,5.0,-6.31051770406188,-6.486056883682065,0.332005299746517
194,-0.32463315,2.0698623059211854,54000.0,46468915.0,27.0,-6.4132370545381905,-6.605153346311224,2.0698623059211854
195,-0.20946951,-0.35852798137537806,52800.0,46397076.0,12.0,-6.702540949576243,-6.922866463123706,-0.35852798137537806
196,-0.35458973,1.091993656524586,53000.0,46405084.0,16.0,-6.6396766411195225,-6.840520728241049,1.091993656524586
197,-0.35881332,1.3056960423518305,52400.0,46385539.0,11.0,-6.797042853362407,-7.016642461001082,1.3056960423518305
198,-0.2714306,-1,51700.0,46371116.0,5.0,-6.592304994723145,-6.818020855195994,-1.5215106032999306
199,-0.1410777,0.1876734361448301,52500.0,46382945.0,2.0,-6.553446348178238,-6.760904597398036,0.1876734361448301
200,-0.21969959,-1,52400.0,46381474.0,2.0,-6.5655331380080675,-6.784139598328357,-1.130808348507147
201,-0.6448005,-0.5634508301534534,53000.0,46387466.0,7.0,-6.506479822227477,-6.706463588583126,-0.5634508301534534
202,-0.7870898,-1,53300.0,46388405.0,3.0,-6.697353296246108,-6.8861807369259695,-2.248820276124781
203,0.34211382,-1,54500.0,46387361.0,290.0,-7.046080041910244,-7.256234901355744,-1.8113045012372342
204,-0.3821343,-1,56000.0,46813655.0,111.0,-4.8784859306665735,-5.0686860038500265,-1.401211088944027
205,-0.8202326,0.0,57000.0,46979898.0,147.0,-4.102785927137866,-4.259173259318742,0.0
206,-0.86748195,1.5693682693510724,57000.0,46977278.0,28.0,-4.119008449642658,-4.282974005742116,1.5693682693510724
207,-0.26140672,1.2418109251484433,56100.0,46972687.0,1.0,-4.112244304986649,-4.2829968915804075,1.2418109251484433
208,-0.45830452,5.03626779166779,55400.0,46969797.0,1.0,-4.1108711132323625,-4.288400989398703,5.03626779166779
209,-0.45817006,0.758752743845844,52600.0,46961312.0,1.0,-3.846295220840907,-4.019182715097012,0.758752743845844
210,-0.12811443,-1,52200.0,46960512.0,0.0,-3.6217296208391607,-3.7902628201960304,-1.3380149404390367
211,-0.39117593,1.1316602387148005,52900.0,46961912.0,0.0,-3.7470353971064676,-3.9121432209603015,1.1316602387148005
212,-0.15586108,0.0,52300.0,46960712.0,0.0,-3.8958698264562366,-4.073715735065391,0.0
213,-0.18253946,1.3354509069242888,52300.0,46960712.0,0.0,-3.928949030050194,-4.098701154077635,1.3354509069242888
214,-0.32813427,1.5469803919555067,51600.0,46959312.0,0.0,-4.024604371543649,-4.204861175481576,1.5469803919555067
215,-0.17232186,-0.7856979142840851,50800.0,46957712.0,0.0,-4.01099495869934,-4.196949422675522,-0.7856979142840851
216,-0.2870219,-1,51200.0,46958512.0,0.0,-3.8665583996362556,-4.0364878609992445,-1.7539793291363235
217,-0.29649174,2.106639569165114,52100.0,46960312.0,0.0,-3.8974620928083703,-4.059409384175798,2.106639569165114
218,0.025408715,-1,51000.0,46957946.0,23.0,-3.812180809605549,-3.9766388697337423,-1.1445271126837868
219,0.3259206,-1,51600.0,46970836.0,288.0,-3.663257215700203,-3.8126108999239197,-2.0345816944960315
220,-0.33968958,1.299207903500776,53200.0,47462378.0,106.0,-1.2132714931375943,-1.2777923269823555,1.299207903500776
221,-0.39599827,-1,52300.0,47269123.0,81.0,-2.1545911897709265,-2.275410691131428,-2.4682306559900273
222,-0.34993005,-0.1685938001426276,53800.0,47454237.0,44.0,-1.191183331836775,-1.257473763113304,-0.1685938001426276
223,0.11160028,-1,53900.0,47461756.0,89.0,-1.431381930071873,-1.5076630183178277,-2.9899949735075215
224,-1.1058567,-1.0,55900.0,47803756.0,0.0,0.12137108147880071,0.12755477714862667,0.43485642907236066
225,-0.08478503,-1,56100.0,47836667.0,14.0,0.3299241040638653,0.3486281487587185,-1.3088979640404452
226,-0.18711975,-0.29751634991115106,57000.0,47975254.0,29.0,0.7312949218785364,0.7717683854501327,-0.29751634991115106
227,-0.46077985,-1,57200.0,47995407.0,58.0,0.9967102830226595,1.0495705566332487,-3.2048089183118793
228,-0.7618561,0.16538683714482655,59200.0,48130256.0,53.0,1.7038053864183584,1.7917897211106615,0.16538683714482655
229,-0.73173374,2.354321596943779,59100.0,48127393.0,12.0,1.6345804865844364,1.7216807549071145,2.354321596943779
230,-0.084065795,1.3781693183616348,57700.0,48120393.0,0.0,1.2166226723771012,1.2835371142652352,1.3781693183616348
231,-0.58075345,5.954196752138831,56900.0,48116207.0,2.0,1.1075242976787187,1.1702573693801899,5.954196752138831
232,-0.40105167,2.0515015246418544,53500.0,48105920.0,1.0,0.8029844887792347,0.8498696307494215,2.0515015246418544
233,-0.41228953,2.285087116748864,52400.0,48103720.0,0.0,0.8613021388094333,0.9129467032070218,2.285087116748864
234,-0.15162873,-0.19489671099462552,51200.0,48101320.0,0.0,0.7821069352670011,0.8302248698621848,-0.19489671099462552
235,-0.68558276,-0.7788955195285171,51300.0,48101437.0,1.0,0.8112921878242044,0.8593834127144016,-0.7788955195285171
236,-0.018486738,9.467569565123613,51700.0,48101837.0,0.0,0.8371893962631397,0.8849469130645443,9.467569565123613
237,-0.079042286,4.055878704320974,46800.0,48096937.0,0.0,1.0413388948783464,1.1024180024686003,4.055878704320974
238,0.2624368,-1,44900.0,48093252.0,280.0,0.9155719697211974,0.9707132129953762,-3.3679243739796147
239,-0.14509456,-1,46950.0,48666219.0,40.0,4.130155809304642,4.44485987507099,-1.3895081052176814
240,-0.55378234,-1,47800.0,48860631.0,133.0,4.946304532423698,5.321247149806375,-2.900070705665487
241,-1.0395112,-1.0,49350.0,49028031.0,0.0,5.924579127571605,6.371271428388666,0.07181127842781432
242,-0.08721784,1.4546723260416206,49500.0,49043500.0,9.0,6.041053599269644,6.49258233533161,1.4546723260416206
243,-0.36313552,-1,48700.0,48961502.0,35.0,5.694381197680049,6.135434090062075,-3.2685443485186414
244,0.04704362,6.099976254816732,50400.0,49070002.0,42.0,6.631228569568342,7.133466668403532,6.099976254816732
245,-0.17984113,1.8537265437586106,46950.0,48702838.0,19.0,4.673319230767184,5.024282224867507,1.8537265437586106
246,-0.64386046,4.114788549435865,46000.0,48615959.0,56.0,4.491050478455866,4.840417883033931,4.114788549435865
247,-0.4554991,-1,44050.0,48554497.0,14.0,4.379685314495338,4.730997693060571,-1.229324445055113
248,-0.3081513,0.0,44600.0,48563482.0,5.0,4.406650171168384,4.750559368295003,0.0
249,-0.47539273,1.1138691175450477,44600.0,48563117.0,5.0,4.284147409309907,4.624658113726828,1.1138691175450477
250,-0.93604565,3.9646501185681906,44100.0,48559184.0,6.0,4.21068112361402,4.551656793420282,3.9646501185681906
251,0.04014641,1.586578969204453,42350.0,48557164.0,45.0,4.2965349202641265,4.650682318869928,1.586578969204453
252,-0.3841613,-1,41650.0,48523802.0,17.0,4.245160295612493,4.603463853544665,-3.8629732348539325
253,-0.38269246,0.11362047866115553,43300.0,48570871.0,11.0,4.518672248088111,4.890717830964752,0.11362047866115553
254,-0.26051587,-1,43250.0,48569688.0,4.0,4.651851995492503,5.041419530969827,-2.3974798742740284
255,-0.44692633,-1,44300.0,48583953.0,6.0,4.668067301693167,5.049104092857255,-3.2492615011934234
256,-0.16225621,-0.10856938587796222,45750.0,48595479.0,1.0,4.780980492902845,5.161163392615243,-0.10856938587796222
257,-0.3989042,0.32596756993585996,45800.0,48595679.0,2.0,4.526019631694118,4.876481887750184,0.32596756993585996
258,0.30547717,-1,45650.0,48592836.0,323.0,4.484670070648628,4.83841637761768,-6.441231511209029
259,-0.14494069,-1,49900.0,49982986.0,47.0,11.143747159728916,13.095818361352784,-2.5952700844361956
260,-0.14566574,0.2913740316459789,51700.0,50485391.0,40.0,13.729660909612926,16.25422325117305,0.2913740316459789
261,0.09197706,-0.9317568103981952,51500.0,50436702.0,67.0,13.577998118061569,16.106737357708226,-0.9317568103981952
262,-0.069752395,-1,52200.0,50650503.0,21.0,14.774703495248586,17.51844296602879,-2.0236210174219416
263,-0.2171191,-1,53700.0,51075537.0,62.0,16.60886672076347,19.778115230845117,-15.211905275244723
