timestep,action,reward,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
101,-0.013236277,-0.0636227689279491,26017842.0,7.0,-84.915772472829,-152.60355029584542,-0.026576843410252238
102,-0.12605797,-0.043411628688530685,26042370.0,70.0,-85.0578109848735,-152.11517438174207,0.0009427376797814361
103,0.09353345,-0.031215687900709763,26238625.0,33.0,-85.3660680642227,-152.06420491682184,0.0075359884680234555
104,0.05641403,-0.003987160604502285,26736348.0,17.0,-83.21231658599444,-148.52596207058852,0.018969096132133448
105,0.2367554,-0.017285812862233615,26736035.0,69.0,-84.147508918471,-149.4300471926704,-1.1706909260756182e-05
106,-0.11639519,0.008172291920394467,27128729.0,71.0,-83.41986361545867,-148.00217695735014,0.014687817397007447
107,0.0007420145,0.011781822919839771,27344329.0,0.0,-81.80974555774232,-144.5988916726904,0.007947294545203352
108,0.007874856,-0.005898108907116881,27155670.0,2.0,-83.84572266781267,-148.9892540227029,-0.006899383049406698
109,-0.09167458,0.0005039452132121341,27180086.0,49.0,-85.73630143699837,-151.65584392632954,0.0008991124137242793
110,-0.1564317,-0.009888711198869263,27028437.0,76.0,-87.23994458771841,-154.94845886025698,-0.005579415753136322
111,-0.042520914,-0.015435747891524979,26881942.0,17.0,-87.42624002330693,-155.87728488864934,-0.005420032242337949
112,-0.025625147,-0.010385709935460133,26901365.0,10.0,-89.21560000566396,-158.36368921422368,0.0007225296446216571
113,-0.19599104,-0.014921805631899723,26839022.0,76.0,-88.30559960351057,-156.70148340755532,-0.002317466046797254
114,0.15129998,-0.0031960018405763763,26995163.0,78.0,-88.67543939047573,-156.73844854824046,0.005817685905246473
115,0.25697044,-0.01866065855245551,26818695.0,114.0,-88.49102283378737,-157.16200454642657,-0.006537022947407282
116,0.16164789,0.031662151443031986,27525453.0,51.0,-85.05114631649843,-152.3806028736172,0.026353183851786973
117,-0.028326921,0.01672367871143153,27580228.0,15.0,-82.0329432252531,-146.34963456840663,0.001989976332087977
118,0.107524544,0.044755339940935765,28039937.0,29.0,-82.64269170814637,-147.5059134448336,0.016668063802808303
119,0.15148064,0.049387468143270455,28296259.0,36.0,-80.51144551108142,-143.26485912293714,0.009141318684132564
120,0.027859699,0.0007480707007365278,27629636.0,5.0,-82.84775323904333,-145.70417309799976,-0.023558697282209638
121,0.16733137,0.009412738258044631,27507275.0,34.0,-86.77487535569936,-153.00775292969234,-0.004428614260426739
122,-0.13487913,0.016341215002240353,27567025.0,86.0,-86.10919329345126,-151.2170035577978,0.0021721526396198823
123,-0.22147746,0.055525629963113735,28202848.0,123.0,-82.02996484006378,-144.78791516229262,0.02306462159046905
124,0.05375596,0.04352385142786079,28268154.0,19.0,-85.03084110966347,-149.48441198412823,0.0023155817455031494
125,0.053713556,0.044781522856717035,28313565.0,18.0,-85.09299182654145,-148.99887009387513,0.0016064366990501042
126,-0.058915257,0.0061066480791052286,27720818.0,27.0,-83.85934158764178,-146.18651475721165,-0.02093508888760564
127,-0.011062268,0.04923647163648549,28166591.0,4.0,-82.86241676324501,-144.46675187365233,0.016080802521772627
128,0.0144218765,0.02535246356113817,27967667.0,5.0,-84.64528771113888,-148.30042672164677,-0.00706240950493441
129,-0.07362349,0.011688371073388645,27675347.0,32.0,-84.57246108126186,-149.05495843635669,-0.010452069527286634
130,0.044239085,0.015020374111558307,27613012.0,18.0,-87.80567029326019,-154.65867057856804,-0.0022523656162287686
131,0.022383263,0.03321581750869758,27872774.0,8.0,-85.90931296491553,-150.9251698687901,0.009407231634129591
132,0.2525895,0.06173869918265752,28423567.0,91.0,-84.52948574481476,-148.86462838658042,0.01976096817632863
133,-0.05625861,0.06798830005321972,28741053.0,29.0,-84.65944000514719,-148.78710555779708,0.011169815526671933
134,0.12709862,0.04748567014359879,28539666.0,37.0,-84.54970380601067,-149.2982324085411,-0.0070069457789177034
135,-0.014395781,0.057480103068510854,28620256.0,7.0,-84.33122524946897,-148.3680133139747,0.002823789178191504
136,0.0019346625,0.053822240421210796,28593606.0,0.0,-84.99657959212202,-149.15229870409172,-0.0009311586870501788
137,-0.24205258,0.07248950630104119,28879078.0,129.0,-84.39399542769286,-147.74766617836724,0.009983770497502134
138,0.017251352,0.06549898098447697,28879048.0,6.0,-86.26938237126244,-150.42184601599268,-1.038814327798138e-06
139,0.21334976,0.06676192438616084,28899126.0,82.0,-86.80310472897025,-150.81342169444957,0.0006952445246810075
140,0.033848587,0.0709102890206464,28972875.0,10.0,-88.97315499921334,-154.03692995766426,0.0025519456885997175
141,0.11192917,0.05808161570692909,28797006.0,33.0,-93.0598201209316,-161.7652061389834,-0.006070125936759814
142,-0.22193688,0.08040233774305318,29084155.0,118.0,-92.80945220028178,-160.97099757964338,0.009971488008163071
143,0.4099775,0.09559440125346023,29437807.0,150.0,-90.46812999424404,-156.6786740847602,0.012159610619596821
144,0.004054319,0.10477464856595566,29721307.0,0.0,-89.43107319664789,-154.52268100889268,0.009630472813413038
145,0.18091074,0.09449509877245778,29664403.0,38.0,-86.46785240173828,-149.3231009858524,-0.0019145860577396547
146,0.12136048,0.12594452841977533,30148288.0,21.0,-85.6477844334469,-147.9672369431736,0.016311974995755013
147,-0.21512087,0.12367496449886291,30296219.0,134.0,-88.60417309614832,-152.58236284014774,0.00490677944963243
148,-0.37909317,0.060317157842383715,29325519.0,186.0,-94.07372288632284,-156.5490188476859,-0.03204030179475531
149,-0.20968114,0.09779636391638895,29566348.0,64.0,-93.93406244001488,-155.91056675571778,0.008212267274792306
150,-0.04205785,0.11311569329675815,29904505.0,10.0,-93.76689889483559,-155.3705663806235,0.011437225862321583
151,0.033581305,0.10582340361907862,29916011.0,17.0,-93.53097388403968,-154.47393272338996,0.0003847580824360744
152,0.12900332,0.10398693791761894,29890745.0,66.0,-95.14166999411144,-156.8336900499924,-0.000844564470844726
153,-0.29601175,0.10909093076868077,29963479.0,93.0,-89.9011035861689,-147.71436121935903,0.0024333284433024336
154,0.08795567,0.10668328885504826,29952117.0,47.0,-88.83161073476589,-145.59719566984936,-0.0003791949526288319
155,-0.1624457,0.10927746582529059,29989679.0,43.0,-88.63219838317171,-144.8045217034156,0.0012540682850564454
156,0.24485204,0.13146223853064692,30361849.0,125.0,-87.49484950741383,-142.76976444006993,0.012409936098349035
157,0.2403023,0.12382461504389693,30378861.0,92.0,-85.80080696116099,-139.5652957301834,0.0005603084318086161
158,-0.16392913,0.09582000433919037,29931109.0,72.0,-86.20498380640376,-140.79473751964795,-0.014738933102198927
159,-0.032239493,0.10609229761593604,29930384.0,11.0,-82.19226451988554,-133.84549169137753,-2.422228992584271e-05
160,0.022015117,0.14182652609848279,30506337.0,8.0,-84.39854708660981,-137.7259767143677,0.019243087559451293
161,0.4384598,0.1464256627984717,30799800.0,155.0,-87.70314311377095,-142.8234680035175,0.009619739007013526
162,0.26172942,0.13806817245025865,30773336.0,52.0,-89.97190737294486,-146.299193255761,-0.0008592263586127182
163,0.32470766,0.12630058480882128,30571799.0,48.0,-90.41327266337987,-147.63180857992648,-0.006549078721916922
164,0.3960835,0.09637430110989083,30010865.0,40.0,-92.97178262359135,-151.87340358012457,-0.018348086090713863
165,-0.07175054,0.10902058390943088,30007679.0,47.0,-98.44741148220353,-160.39266103986677,-0.0001061615518246475
166,0.21380505,0.10717841283364866,29976745.0,23.0,-97.26967608673964,-158.28059931685675,-0.00103086946511258
167,-0.18883422,0.09551879155962138,29776977.0,120.0,-94.21673898470007,-153.92138375988728,-0.006664099120835167
168,0.31151447,0.11950935588898882,30088006.0,63.0,-93.9006309237212,-153.14888177987478,0.010445284623754788
169,0.1677866,0.13920483997491562,30524368.0,23.0,-97.3753931737534,-158.77904043522113,0.014502855390284088
170,-0.0579115,0.1046974113611523,30128725.0,35.0,-98.66328712349745,-161.5783111636022,-0.012961546001542113
