timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
24,0.14376077,-0.311657758940241,20180419, 124500.csv,4125.0,4385.0,2567.0,28404098.0,38992973.0,1102.0,-0.7416398020515276,-0.9865338345864662,-0.09432861498908776,-1.2995371658137282,-0.9997848089299647,-2.273250626566416,-1.2995371658137282,-0.016746166087502234,-22.69589326505343,-19.460825526423044,buy
25,-0.22420114,-0.14382968580652905,20180420, 124500.csv,4385.0,4360.0,1992.0,30772080.0,39507000.0,575.0,1.711641736063572,-2.2830075187969925,-1.3093912721372827,-0.3832697919192116,-0.5202444938271115,-0.9849624060150376,1.3283719441443604,0.017490946202291968,-16.974866120639607,-13.338196297156184,sell
26,-0.07623762,4.18298274368345e-05,20180423, 124500.csv,4360.0,4360.0,1841.0,31433128.0,39459888.0,151.0,-0.12605361075252486,-0.9876867167919798,1.3255839840283485,0.009552063250002893,0.00045610551390129483,-1.1030375939849624,-0.11650154750252197,-0.0001357168953336485,-9.368045540212307,-9.898622148608288,sell
27,0.033640236,0.0,20180424, 124500.csv,4360.0,4360.0,2083.0,30377859.0,39459739.0,242.0,0.0,-1.1034110275689224,-0.11687870623316565,0,0,-1.1034110275689224,0.0,0,-9.974865997287942,-10.73731592359491,buy
28,0.11371994,0.0,20180425, 124500.csv,4360.0,4280.0,2875.0,26924249.0,39459249.0,792.0,0.0,-1.1046390977443608,-0.0012417720248985933,0,0,-1.1046390977443608,0.0,0,-10.155650009351177,-10.991966015720674,buy
29,-0.068433315,0.0002948290491917808,20180426, 124500.csv,4280.0,4400.0,2679.0,27777407.0,39243527.0,196.0,-0.5828798211542242,-1.1081528822055138,-0.0035530326489487925,0.039717899521753974,0.007856532553268236,-1.645295739348371,-0.5431619216324702,-0.0029459010239838435,-10.434396277719292,-11.361118274866238,sell
30,0.079529464,0.041765897161741644,20180427, 124500.csv,4400.0,4375.0,3195.0,25568614.0,39626614.0,516.0,0.8191924237594649,-1.6460802005012531,-0.5439551732257465,0.15779177534308575,0.11705398801709532,-0.6851779448621553,0.9769841991025506,0.009499572509447218,-11.697484611287093,-12.91455265784513,buy
31,-0.069744416,4.754176100603137e-05,20180430, 124500.csv,4375.0,4190.0,2973.0,26543811.0,39550686.0,222.0,-0.2015690767825886,-0.6891954887218045,0.9728994164443309,0.013998150934769887,0.0009792613583071708,-0.8754736842105263,-0.1875709258478187,-0.0003517666378373141,-8.253790982008624,-9.958849807072237,sell
32,0.16880193,-0.3240344162464092,20180502, 124500.csv,4190.0,4200.0,3996.0,22067551.0,38810791.0,1023.0,-1.3906332749828916,-0.8770651629072682,-0.1891734490622602,-1.8691758450576967,-0.9999999741017827,-2.729847117794486,-1.8691758450576967,-0.03433489145124913,-8.855991027174568,-10.871252248641385,buy
33,-0.5699196,-0.005102108682579164,20180503, 124500.csv,4200.0,4210.0,1719.0,31592517.0,38812317.0,2277.0,0.10296105534154149,-2.7691052631578947,-1.9087813565651282,-0.05865136665306264,-0.01705283995748641,-2.7260225563909777,0.04430968868847884,1.963329238108269e-05,-10.81106803539778,-10.97275918562354,sell
34,-0.23842451,-0.00015847148271727062,20180504, 124500.csv,4210.0,4065.0,1310.0,33307498.0,38822598.0,409.0,0.044290063899045246,-2.7330877192982457,0.03704331216649968,-0.010535440224191221,-0.0005548235320577133,-2.7002556390977444,0.033754623674854024,1.1393681285776225e-05,-10.888986205654124,-10.901164203935911,sell
35,-0.0070074797,-0.0016339114318208448,20180508, 124500.csv,4065.0,4015.0,1301.0,33345327.0,38633892.0,9.0,-0.48927688971253286,-2.7004085213032583,0.03359744565621539,0.00336068078471341,5.6469282233795326e-05,-3.1732030075187967,-0.48591620892781945,-0.0023583603092728334,-10.990303226940291,-10.856082929891564,sell
36,0.1748288,-0.14046127312561854,20180509, 124500.csv,4015.0,4040.0,2734.0,27519355.0,38496365.0,1433.0,-0.16837547715875997,-3.1752756892230574,-0.48804641489555406,-0.3538419744848098,-0.465284641863551,-3.5178822055137844,-0.3538419744848098,-0.0012512579522189204,-12.051608006980578,-12.1371659143832,buy
37,-0.4687263,-0.010135894213845953,20180510, 124500.csv,4040.0,3990.0,1453.0,32654126.0,38524246.0,1281.0,0.17754923094686992,-3.539045112781955,-0.3756988993754443,-0.08316897070885913,-0.03399414957159619,-3.4480050125313286,0.09438026023801079,8.907236804700513e-05,-12.937153811918009,-13.245667672974156,sell
38,-0.102141716,0.00035190825509878726,20180511, 124500.csv,3990.0,3875.0,1305.0,33251066.0,38458016.0,148.0,-0.18858253578798143,-3.4504611528822053,0.09183400683035076,0.019204373510670864,0.0018423406128995623,-3.6139949874686716,-0.16937816227731056,-0.0002868484696729734,-12.831597189887479,-12.991813751924388,sell
39,-0.46410578,0.04497034563215107,20180514, 124500.csv,3875.0,3820.0,700.0,35661054.0,38373554.0,605.0,-0.39023073889199067,-3.623924812030075,-0.17966285620746694,0.1808900020219587,0.1509234774438546,-3.8256791979949876,-0.20934073687003196,-0.00043813943000758915,-13.37860854072455,-13.682231748567354,sell
40,-0.51233065,0.0039061425143596673,20180515, 124500.csv,3820.0,3700.0,342.0,37046028.0,38352468.0,358.0,-0.10032951339352097,-3.8313834586466164,-0.2152594886354505,0.05130847218660574,0.013076545832044983,-3.878526315789474,-0.049021041206915236,-2.4030336076896752e-05,-13.992931162588803,-14.463990724744328,sell
41,-0.30814478,0.0015760182520697886,20180516, 124500.csv,3700.0,3800.0,237.0,37446471.0,38323371.0,105.0,-0.10700745516559716,-3.8801729323308267,-0.050733259392611314,0.03285189573191097,0.005381701742235068,-3.9514511278195488,-0.0741555594336862,-5.498895800104542e-05,-14.306005687775285,-14.835809405035935,sell
42,-0.3447165,-0.0006577111712369299,20180517, 124500.csv,3800.0,3835.0,156.0,37745680.0,38338480.0,81.0,0.06184215892699001,-3.9526817042606512,-0.07543581188382473,-0.02113540619859381,-0.0022310345105299723,-3.9135839598997495,0.040706752728396196,1.6570259888659677e-05,-14.58861585164139,-15.195093103609816,sell
43,-0.36393684,-3.861704898809881e-05,20180518, 124500.csv,3835.0,3760.0,100.0,37958131.0,38341631.0,56.0,0.014241566175810832,-3.9144586466165414,0.03979606960645964,-0.005112273983658846,-0.0001306681885884231,-3.9056867167919798,0.009129292192151986,8.334394120401711e-07,-14.664377784832938,-15.11351037041935,sell
44,-0.27224147,4.040955793901401e-05,20180521, 124500.csv,3760.0,3770.0,73.0,38061507.0,38335987.0,27.0,-0.019560983203870487,-3.906110275689223,0.008688477797730933,0.005281402524343972,0.00013945633818146508,-3.9198320802005013,-0.014279580679526515,-2.039062164893579e-06,-14.735561541757573,-15.024888706329524,sell
45,0.029911175,9.374394137211527e-05,20180523, 124500.csv,3770.0,3725.0,375.0,36925826.0,38339576.0,302.0,0.0019042160046642337,-3.9202355889724307,-0.014699491636495239,0.007877756607586248,0.00031024710925098287,-3.9108370927318297,0.009781972612250483,9.56869424029172e-07,-14.934674810073705,-15.258410892309556,buy
46,-0.051712126,-4.762695488969016e-06,20180524, 124500.csv,3725.0,3635.0,356.0,36997339.0,38323439.0,19.0,-0.04401457126182094,-3.9111303258145367,0.009476775066748268,0.002229944097415733,2.486294429981939e-05,-3.951280701754386,-0.04178462716440521,-1.7459398255592617e-05,-15.01869565916739,-15.187458557044371,sell
47,-0.09208711,4.416561143415487e-05,20180525, 124500.csv,3635.0,3795.0,324.0,37116345.0,38294085.0,32.0,-0.08360418802707137,-3.9517669172932335,-0.04229063326115269,0.007514598014534593,0.00028230606074308717,-4.024849624060151,-0.07608959001253678,-5.7894581126816114e-05,-15.207320550752833,-15.432775958808222,sell
48,-0.21979338,-0.001238811892543734,20180528, 124500.csv,3795.0,3725.0,253.0,37374007.0,38334142.0,71.0,0.1353733872998924,-4.02590977443609,-0.0771933587565458,-0.029663988183140394,-0.004390096205750149,-3.9244561403508773,0.105709399116752,0.00011173852740187229,-15.52642309921665,-15.833238863329678,sell
49,0.47856653,-0.30080054515753424,20180529, 124500.csv,3725.0,3640.0,4964.0,19493224.0,37984124.0,4711.0,-0.04619902540142935,-3.9308170426065168,0.09908167048635881,-0.9065104606632167,-0.9835726241465335,-4.801694235588973,-0.9065104606632167,-0.00818393987653454,-15.458977384425348,-15.633400302199782,buy
50,0.20782316,-1.0,20180530, 124500.csv,3640.0,3640.0,6051.0,15443575.0,37469215.0,1087.0,-1.1108325151845018,-4.803130325814537,-0.9080053107091474,-1.3541019374412888,-0.9998956709055207,-6.09219298245614,-1.3541019374412888,-0.01816884032673438,-16.975642347760235,-17.237061122069747,buy
